Sources	GC
Ruminant	30.06
Ruminant	29.73
Ruminant	29.9
Ruminant	30.29
Chicken	29.59
Chicken	34.4
Chicken	33.17
Chicken	34.4
Chicken	33.26
Chicken	34.4
Human	30.54
Pig	26.68
Human	28.12
Ruminant	27.33
Ruminant	27.7
Human	29.18
Pig	27.96
Pig	27.96
Human	29.37
Human	29.21
Pig	29
Pig	28.46
Pig	30.09
Pig	30.41
Pig	30.98
Human	30.67
Human	30.64
Human	30.65
Human	30.72
Human	30.6
Human	30.8
Human	30.74
Human	30.8
Human	30.7
Ruminant	29.41
Pig	29.42
Pig	29.13
Ruminant	26.9
Ruminant	26.96
Ruminant	26.75
Ruminant	26.89
Ruminant	28.16
Ruminant	28.08
Ruminant	28.81
Pig	29.09
Human	27.92
Chicken	34.1
Human	31.23
Human	31.29
Human	30.66
Human	30.22
Human	31.41
Human	34.32
Human	28.96
Human	27.13
Chicken	33.3
Chicken	33.3
Ruminant	35.98
Ruminant	36.17
Ruminant	36.35
Human	36.17
Human	35.89
Ruminant	33.37
Human	35.94
Human	36
Pig	35.06
Human	34.37
Human	36.35
Human	35.74
Ruminant	35.71
Ruminant	34.5
Pig	32.48
Pig	40.22
Human	34.48
Pig	34.62
Human	28.2
Human	28.2
Human	27.78
Pig	27.83
Pig	27.83
Human	28.02
Human	27.99
Human	28.01
Human	27.78
Pig	27.83
Pig	27.83
Ruminant	30.02
Ruminant	30.01
Ruminant	29.97
Ruminant	30.28
Ruminant	30.28
Chicken	38.78
Chicken	38.82
Chicken	38.78
Chicken	36.3
Chicken	34.64
Chicken	33.14
Chicken	33.14
Chicken	32.83
