"","MDS1","MDS2","Source"
"SRR9113722",-1.10065452167832,-1.48805335018938,"Chicken"
"SRR9113711",-1.46762520217254,-1.53025869601335,"Chicken"
"SRR9113720",-1.51932930417677,-1.41487569611764,"Chicken"
"SRR9113737",-1.525803112155,-1.48866504513282,"Chicken"
"SRR9113718",-1.3344408481565,-1.62162901758191,"Chicken"
"SRR9113712",-1.32720590744748,-1.45971290838846,"Chicken"
"SRR9113703",-0.951644064134401,-2.06466917526401,"Chicken"
"SRR9113688",-1.20565211406576,-1.39692028173879,"Chicken"
"SRR9113710",-1.0019986972829,-1.57881753558064,"Chicken"
"SRR9113724",-1.47726774031363,-1.51458109997481,"Chicken"
"SRR9113719",-1.34263331190012,-1.4524412708418,"Chicken"
"SRR9113689",-1.39924525551051,-1.5487417292358,"Chicken"
"SRR9113714",-1.59519618720912,-1.31356284383459,"Chicken"
"SRR9113731",-1.72274146797911,-1.41139469421177,"Chicken"
"SRR9113735",-1.03915417523997,-1.67313405891482,"Chicken"
"SRR9113713",-1.61481557134585,-1.67620859356979,"Chicken"
"SRR9113729",-1.29176644284234,-1.45000227321685,"Chicken"
"SRR9113692",-1.40273590430118,-1.60945356529643,"Chicken"
"SRR9113700",-1.5599766276721,-1.54521610586752,"Chicken"
"SRR9113716",-0.941453840746064,-1.76763508023472,"Chicken"
"SRR9113697",-1.35625722931255,-1.87716957805499,"Chicken"
"SRR9113696",-1.44003764327054,-1.50266380733039,"Chicken"
"SRR9113706",-1.30204496074335,-1.62418695323302,"Chicken"
"SRR9113715",-1.42293191829523,-1.43788740960053,"Chicken"
"SRR9113728",-1.27132444370202,-1.44266644825307,"Chicken"
"SRR9113709",-1.13979429386525,-1.54052210986177,"Chicken"
"SRR9113727",-1.07979184050865,-1.67250023319777,"Chicken"
"SRR9113694",-1.22598127324554,-1.55075954819898,"Chicken"
"SRR9113705",-1.17432219485126,-1.37583439940306,"Chicken"
"SRR9113733",-1.32633775349951,-1.81890317241979,"Chicken"
"SRR9113704",-1.27411359291318,-1.47061237075425,"Chicken"
"SRR9113699",-1.56590739010142,-1.80455411046717,"Chicken"
"SRR9113732",-1.40456829773172,-1.52556283674568,"Chicken"
"SRR9113717",-1.64582837273704,-1.64898146577483,"Chicken"
"SRR9113725",-1.63931156979808,-1.32094208658219,"Chicken"
"SRR9113736",-1.55889852453916,-1.64019335634053,"Chicken"
"SRR9113721",-0.819500991155737,-1.96834401536454,"Chicken"
"SRR9113690",-1.13118623426606,-2.03454759433322,"Chicken"
"SRR9113726",-1.26060022665945,-1.57205216564733,"Chicken"
"SRR9113730",-1.65114960646104,-1.44617528823844,"Chicken"
"SRR9113695",-1.78451990570264,-1.4858112423287,"Chicken"
"SRR9113734",-1.63015251093914,-1.54507841046806,"Chicken"
"SRR9113723",-1.15487882449775,-1.57505364508673,"Chicken"
"SRR9113701",-1.27504605374746,-1.90441644675578,"Chicken"
"SRR9113698",-1.71225043192793,-1.29499209406268,"Chicken"
"SRR9113702",-1.61291951736226,-1.66812018635393,"Chicken"
"SRR9113691",-1.62538519061398,-1.44396507182509,"Chicken"
"SRR9113708",-1.47449321531422,-1.61504951771065,"Chicken"
"SRR9113693",-1.41939152575264,-1.60695167258064,"Chicken"
"SRR9113707",-1.22738160355205,-1.7611041424101,"Chicken"
"ERR3414571",-1.21324757626268,0.631651308604594,"Chicken"
"ERR3414572",-1.07284438063846,1.11816326320428,"Chicken"
"ERR3414573",-1.04911536481732,1.22894452951215,"Chicken"
"ERR3414574",-1.17187868125386,1.04503712496008,"Chicken"
"ERR3414575",-1.2113345681573,0.893304283896927,"Chicken"
"ERR3414576",-1.80768256701501,-1.31430374837315,"Chicken"
"ERR3414577",-1.11406870201282,0.818220645519748,"Chicken"
"ERR3414578",-0.908922865989706,0.399158466370685,"Chicken"
"ERR3414579",-2.00756458137206,-2.28511903629279,"Chicken"
"ERR3414580",-1.46776966907437,0.686326667389114,"Chicken"
"ERR3414581",-1.08541090054587,0.974158694487827,"Chicken"
"ERR3414582",-0.915113279115424,0.536617138530532,"Chicken"
"ERR3414583",-1.32300805467208,1.42131060805467,"Chicken"
"ERR3414584",-1.55530876290964,1.29157377900374,"Chicken"
"ERR3414585",-0.942696331430245,0.860936880594954,"Chicken"
"ERR3414586",-1.00943190356992,0.494712323227966,"Chicken"
"ERR3414587",-1.81199311424432,1.7109058999797,"Chicken"
"ERR3414588",-0.914346113568745,0.405074949564523,"Chicken"
"ERR3414589",-1.00812248351103,0.712701924922289,"Chicken"
"ERR3414590",-1.20166268398826,0.94090586872643,"Chicken"
"ERR3414591",-1.1415559444979,0.914291498486977,"Chicken"
"ERR3414592",-0.997936052839882,1.04105891918772,"Chicken"
"ERR3414593",-0.818579162632127,1.08547444243008,"Chicken"
"ERR3414594",-0.518871858847416,-2.04854430936587,"Chicken"
"SRR7683041",-0.455804780645166,-1.22161298394008,"Chicken"
"SRR7683044",-0.814025970368857,-0.512864384033997,"Chicken"
"SRR7683055",-2.31692028777337,-0.717551069234046,"Chicken"
"SRR7683056",-0.391042407995585,-1.00845769480105,"Chicken"
"SRR7683058",-2.41212945064694,-0.117148248300025,"Chicken"
"SRR7685246",-2.54860915741895,0.592551357730656,"Chicken"
"SRR7685247",-1.04463515433982,-0.511513147395947,"Chicken"
"SRR7685248",-2.72040702252528,0.301539717065175,"Chicken"
"SRR7685255",-2.26977488293932,-0.4472517651875,"Chicken"
"SRR7685261",-2.21277712424936,-0.532849863689786,"Chicken"
"SRR7685270",-2.40748492856168,-0.148904836745831,"Chicken"
"SRR7685276",-0.909305219464953,-0.665223816956578,"Chicken"
"SRR7685277",-2.35405450998423,-0.0688350973436047,"Chicken"
"SRR7685279",-2.15416588520536,-0.476099523667506,"Chicken"
"SRR7685280",-1.082371032394,-0.547286424321473,"Chicken"
"SRR7685281",-1.01880179225479,-1.05053566773818,"Chicken"
"SRR7685282",-1.01995924982133,-1.13458287879752,"Chicken"
"SRR7457734",-0.454084722196014,-0.990738930572907,"Chicken"
"SRR7457735",-0.463382283518648,-1.77955637517375,"Chicken"
"SRR7457736",-0.404921712911827,-1.07953263669544,"Chicken"
"SRR7457737",-0.357829675603067,-0.736021022131852,"Chicken"
"SRR7457738",-0.865299396646176,-0.916647847590306,"Chicken"
"SRR7457739",-0.53302284637013,-1.31861888868414,"Chicken"
"SRR7457740",-0.466399050779567,-1.1804376182413,"Chicken"
"SRR7457741",-0.359761623906901,-1.14765040498053,"Chicken"
"SRR7457742",-0.17783784131589,-1.21477755547592,"Chicken"
"SRR7457743",-0.36983819840191,-1.12117240458462,"Chicken"
"SRR7457744",-2.36345070722111,-0.00124295003745664,"Chicken"
"SRR7457745",-1.07435848773244,-1.56950979211681,"Chicken"
"SRR7457746",-2.37178755127414,-1.8515102915976,"Chicken"
"SRR7457747",-2.41704942403208,-1.97139477317042,"Chicken"
"SRR7457748",-2.08045425768223,-0.601157153032391,"Chicken"
"SRR7457749",-1.76482175712917,-0.257148842389271,"Chicken"
"SRR7457750",-1.61804125473823,-0.879581353217023,"Chicken"
"SRR7457751",-0.507400621930455,-0.663100246110215,"Chicken"
"SRR7457752",-2.23382286779131,-0.124848335901543,"Chicken"
"SRR7457753",-2.36143926837543,-0.108340587191841,"Chicken"
"SRR7457754",-0.541669870010416,-0.981464084825636,"Chicken"
"SRR7457755",-0.0824489739570423,-1.73591265784594,"Chicken"
"SRR7457756",-0.15414440538464,-1.29721925090551,"Chicken"
"SRR7457757",-0.556360496079478,-1.17106105670087,"Chicken"
"SRR7457758",-0.455411597304271,-0.974441472512412,"Chicken"
"SRR7457759",-0.61727338159022,-1.46017881402368,"Chicken"
"SRR7457760",-2.28345475365209,-1.20223258475891,"Chicken"
"SRR7457761",-0.974665266792199,-0.483630955293226,"Chicken"
"SRR7457762",-0.419552254759238,-1.59377370263225,"Chicken"
"SRR7457763",-0.747770433081842,-1.23342929323222,"Chicken"
"SRR7457764",-2.2198115741867,-1.96005121335084,"Chicken"
"SRR7457765",-1.90864095362298,-1.0593236964352,"Chicken"
"SRR7457766",-1.90849262137507,-0.434347961955534,"Chicken"
"SRR7457767",-1.93787109470115,-0.618465327967203,"Chicken"
"SRR7457768",-2.15583646690092,-0.323221596993358,"Chicken"
"SRR7457769",-0.873762418466035,-0.430156058820513,"Chicken"
"SRR7457770",-1.22463877275097,-0.602840136212485,"Chicken"
"SRR7457771",-1.56823493049361,-0.53328395139589,"Chicken"
"SRR7457772",-0.651600226322666,-0.881362755912353,"Chicken"
"SRR7457773",-0.858469746436221,-0.864341486050123,"Chicken"
"SRR7457774",-1.36369023243987,-0.570398621663343,"Chicken"
"SRR7457775",-0.510331430456838,-1.13804701843705,"Chicken"
"SRR7457776",-0.431935746898144,-1.18586046266684,"Chicken"
"SRR7457777",-0.455928824498227,-1.49093044334651,"Chicken"
"SRR7457778",-0.438151060922824,-0.827507323528354,"Chicken"
"SRR7457779",-0.532238858472968,-1.5754475149894,"Chicken"
"SRR7457780",-0.483132381321887,-0.877293428668091,"Chicken"
"SRR7457781",-0.675902320743626,-0.949611929857575,"Chicken"
"SRR7457782",-0.751437672985884,-1.06400714965269,"Chicken"
"SRR7457783",-2.82959594119831,0.190743109251418,"Chicken"
"SRR7683027",-0.501392383683924,-1.54483630046028,"Chicken"
"SRR7683028",-0.209439847327826,-2.0241928288725,"Chicken"
"SRR7683029",-0.586044511379819,-0.995877988985262,"Chicken"
"SRR7683030",-0.777814968191392,-1.16921259225995,"Chicken"
"SRR7683031",-2.50233703448683,0.169750235473307,"Chicken"
"SRR7683032",-1.00120164795195,-0.59220733747869,"Chicken"
"SRR7683033",-0.944762401281217,-0.914798643432425,"Chicken"
"SRR7683034",-0.702060167738371,-0.929622257196452,"Chicken"
"SRR7683035",-2.4555236296632,-0.612697342639792,"Chicken"
"SRR7683036",-0.709839103936437,-1.43267578339617,"Chicken"
"SRR7683037",-1.93394254619623,-0.216042244186047,"Chicken"
"SRR7683038",-0.484164723994786,-1.01369305747288,"Chicken"
"SRR7683039",-0.355361406977308,-1.35741418244069,"Chicken"
"SRR7683040",-0.837533629195096,-1.25469384401132,"Chicken"
"SRR7683042",-0.580066194284169,-1.7752840103252,"Chicken"
"SRR7683043",-0.7797947156624,-1.18054713622464,"Chicken"
"SRR7683045",-2.29706736000393,-0.411234080055574,"Chicken"
"SRR7683046",-0.650442279358529,-1.03954602012172,"Chicken"
"SRR7683047",-0.498147714011615,-1.04208442713921,"Chicken"
"SRR7683048",-0.696385590435801,-1.07900571543396,"Chicken"
"SRR7683049",-0.428251609410763,-1.17790300815969,"Chicken"
"SRR7683050",-0.918572499283049,-0.646006859224584,"Chicken"
"SRR7683051",-0.597798386615039,-0.970083613642367,"Chicken"
"SRR7683052",-2.71275364137586,0.0487035538990459,"Chicken"
"SRR7683053",-2.54722863961334,0.0538942454127997,"Chicken"
"SRR7683054",-1.69188991275683,0.251244690629075,"Chicken"
"SRR7683057",-2.5175281243269,-0.0406071888792262,"Chicken"
"SRR7683059",-2.00267631012801,-1.66360883277745,"Chicken"
"SRR7683060",-1.08414722982129,-0.776497233513027,"Chicken"
