index,mean,Group
1,730.01204819277,Chicken
2,940.72727272727,Chicken
3,1076.94414019715,Chicken
4,1171.03943044907,Chicken
5,1248.85761226725,Chicken
6,1304.79299014239,Chicken
7,1348.65169769989,Chicken
8,1398.5169769989,Chicken
9,1456.6878422782,Chicken
10,1496.10076670318,Chicken
11,1525.64293537788,Chicken
12,1525.64293537788,Chicken
13,1612.23439211392,Chicken
14,1612.23439211392,Chicken
15,1612.23439211392,Chicken
16,1612.23439211392,Chicken
17,1723.80503833516,Chicken
18,1723.80503833516,Chicken
19,1723.80503833516,Chicken
20,1723.80503833516,Chicken
21,1723.80503833516,Chicken
22,1723.80503833516,Chicken
23,1723.80503833516,Chicken
24,1723.80503833516,Chicken
25,1833.70865279299,Chicken
26,1877.35596933188,Chicken
27,1877.35596933188,Chicken
28,1877.35596933188,Chicken
29,1877.35596933188,Chicken
30,1877.35596933188,Chicken
31,1877.35596933188,Chicken
32,1877.35596933188,Chicken
33,1877.35596933188,Chicken
34,1877.35596933188,Chicken
35,1877.35596933188,Chicken
36,1877.35596933188,Chicken
37,1877.35596933188,Chicken
38,1877.35596933188,Chicken
39,1877.35596933188,Chicken
40,1877.35596933188,Chicken
41,1877.35596933188,Chicken
42,1877.35596933188,Chicken
43,1877.35596933188,Chicken
44,1877.35596933188,Chicken
45,1877.35596933188,Chicken
46,1877.35596933188,Chicken
47,1877.35596933188,Chicken
48,1877.35596933188,Chicken
49,1877.35596933188,Chicken
50,2113.30449069002,Chicken
51,2113.30449069002,Chicken
52,2113.30449069002,Chicken
53,2113.30449069002,Chicken
54,2113.30449069002,Chicken
55,2113.30449069002,Chicken
56,2113.30449069002,Chicken
57,2113.30449069002,Chicken
58,2113.30449069002,Chicken
59,2113.30449069002,Chicken
60,2113.30449069002,Chicken
61,2113.30449069002,Chicken
62,2113.30449069002,Chicken
63,2113.30449069002,Chicken
64,2113.30449069002,Chicken
65,2113.30449069002,Chicken
66,2113.30449069002,Chicken
67,2113.30449069002,Chicken
68,2113.30449069002,Chicken
69,2113.30449069002,Chicken
70,2113.30449069002,Chicken
71,2113.30449069002,Chicken
72,2113.30449069002,Chicken
73,2113.30449069002,Chicken
74,2113.30449069002,Chicken
75,2113.30449069002,Chicken
76,2113.30449069002,Chicken
77,2113.30449069002,Chicken
78,2113.30449069002,Chicken
79,2113.30449069002,Chicken
80,2113.30449069002,Chicken
81,2113.30449069002,Chicken
82,2113.30449069002,Chicken
83,2113.30449069002,Chicken
84,2113.30449069002,Chicken
85,2113.30449069002,Chicken
86,2113.30449069002,Chicken
87,2113.30449069002,Chicken
88,2113.30449069002,Chicken
89,2113.30449069002,Chicken
90,2113.30449069002,Chicken
91,2113.30449069002,Chicken
92,2113.30449069002,Chicken
93,2113.30449069002,Chicken
94,2113.30449069002,Chicken
95,2113.30449069002,Chicken
96,2113.30449069002,Chicken
