Sources	Category	Counts	Percent
Chicken	GH25	721	0.288977956
Chicken	GH23	396	0.158717435
Chicken	GH24	208	0.083366733
Chicken	GH108	100	0.04008016
Chicken	GT2	99	0.039679359
Chicken	GH73	97	0.038877756
Chicken	GT51	69	0.027655311
Chicken	GT4	64	0.025651303
Chicken	Others	741	0.296993988
Pig	GH25	214	0.21314741
Pig	GH73	210	0.209163347
Pig	GH24	100	0.099601594
Pig	GH23	50	0.049800797
Pig	GH19	42	0.041832669
Pig	GT2	41	0.040836653
Pig	CBM50	36	0.035856574
Pig	GH108	31	0.030876494
Pig	GH13	16	0.015936255
Pig	Others	264	0.262948207
Ruminant	GH24	563	0.090938459
Ruminant	GH25	475	0.076724277
Ruminant	GT2	447	0.072201583
Ruminant	GH13	362	0.058471975
Ruminant	GH2	273	0.044096269
Ruminant	GH73	237	0.038281376
Ruminant	GH43	191	0.030851236
Ruminant	GT4	191	0.030851236
Ruminant	GH108	184	0.029720562
Ruminant	Others	3268	0.527863027
