id	BioProject	ource	continent	country
SRR9113722	PRJNA543206	feces	Europe	United Kingdom
SRR9113711	PRJNA543206	feces	Europe	United Kingdom
SRR9113720	PRJNA543206	feces	Europe	United Kingdom
SRR9113737	PRJNA543206	feces	Europe	United Kingdom
SRR9113718	PRJNA543206	feces	Europe	United Kingdom
SRR9113712	PRJNA543206	feces	Europe	United Kingdom
SRR9113703	PRJNA543206	feces	Europe	United Kingdom
SRR9113688	PRJNA543206	feces	Europe	United Kingdom
SRR9113710	PRJNA543206	feces	Europe	United Kingdom
SRR9113724	PRJNA543206	feces	Europe	United Kingdom
SRR9113719	PRJNA543206	feces	Europe	United Kingdom
SRR9113689	PRJNA543206	feces	Europe	United Kingdom
SRR9113714	PRJNA543206	feces	Europe	United Kingdom
SRR9113731	PRJNA543206	feces	Europe	United Kingdom
SRR9113735	PRJNA543206	feces	Europe	United Kingdom
SRR9113713	PRJNA543206	feces	Europe	United Kingdom
SRR9113729	PRJNA543206	feces	Europe	United Kingdom
SRR9113692	PRJNA543206	feces	Europe	United Kingdom
SRR9113700	PRJNA543206	feces	Europe	United Kingdom
SRR9113716	PRJNA543206	feces	Europe	United Kingdom
SRR9113697	PRJNA543206	feces	Europe	United Kingdom
SRR9113696	PRJNA543206	feces	Europe	United Kingdom
SRR9113706	PRJNA543206	feces	Europe	United Kingdom
SRR9113715	PRJNA543206	feces	Europe	United Kingdom
SRR9113728	PRJNA543206	feces	Europe	United Kingdom
SRR9113709	PRJNA543206	feces	Europe	United Kingdom
SRR9113727	PRJNA543206	feces	Europe	United Kingdom
SRR9113694	PRJNA543206	feces	Europe	United Kingdom
SRR9113705	PRJNA543206	feces	Europe	United Kingdom
SRR9113733	PRJNA543206	feces	Europe	United Kingdom
SRR9113704	PRJNA543206	feces	Europe	United Kingdom
SRR9113699	PRJNA543206	feces	Europe	United Kingdom
SRR9113732	PRJNA543206	feces	Europe	United Kingdom
SRR9113717	PRJNA543206	feces	Europe	United Kingdom
SRR9113725	PRJNA543206	feces	Europe	United Kingdom
SRR9113736	PRJNA543206	feces	Europe	United Kingdom
SRR9113721	PRJNA543206	feces	Europe	United Kingdom
SRR9113690	PRJNA543206	feces	Europe	United Kingdom
SRR9113726	PRJNA543206	feces	Europe	United Kingdom
SRR9113730	PRJNA543206	feces	Europe	United Kingdom
SRR9113695	PRJNA543206	feces	Europe	United Kingdom
SRR9113734	PRJNA543206	feces	Europe	United Kingdom
SRR9113723	PRJNA543206	feces	Europe	United Kingdom
SRR9113701	PRJNA543206	feces	Europe	United Kingdom
SRR9113698	PRJNA543206	feces	Europe	United Kingdom
SRR9113702	PRJNA543206	feces	Europe	United Kingdom
SRR9113691	PRJNA543206	feces	Europe	United Kingdom
SRR9113708	PRJNA543206	feces	Europe	United Kingdom
SRR9113693	PRJNA543206	feces	Europe	United Kingdom
SRR9113707	PRJNA543206	feces	Europe	United Kingdom
ERR3414571	PRJEB33338	cecum	Europe	United Kingdom
ERR3414572	PRJEB33338	cecum	Europe	United Kingdom
ERR3414573	PRJEB33338	cecum	Europe	United Kingdom
ERR3414574	PRJEB33338	cecum	Europe	United Kingdom
ERR3414575	PRJEB33338	cecum	Europe	United Kingdom
ERR3414576	PRJEB33338	cecum	Europe	United Kingdom
ERR3414577	PRJEB33338	cecum	Europe	United Kingdom
ERR3414578	PRJEB33338	cecum	Europe	United Kingdom
ERR3414579	PRJEB33338	cecum	Europe	United Kingdom
ERR3414580	PRJEB33338	cecum	Europe	United Kingdom
ERR3414581	PRJEB33338	cecum	Europe	United Kingdom
ERR3414582	PRJEB33338	cecum	Europe	United Kingdom
ERR3414583	PRJEB33338	cecum	Europe	United Kingdom
ERR3414584	PRJEB33338	cecum	Europe	United Kingdom
ERR3414585	PRJEB33338	cecum	Europe	United Kingdom
ERR3414586	PRJEB33338	cecum	Europe	United Kingdom
ERR3414587	PRJEB33338	cecum	Europe	United Kingdom
ERR3414588	PRJEB33338	cecum	Europe	United Kingdom
ERR3414589	PRJEB33338	cecum	Europe	United Kingdom
ERR3414590	PRJEB33338	cecum	Europe	United Kingdom
ERR3414591	PRJEB33338	cecum	Europe	United Kingdom
ERR3414592	PRJEB33338	cecum	Europe	United Kingdom
ERR3414593	PRJEB33338	cecum	Europe	United Kingdom
ERR3414594	PRJEB33338	cecum	Europe	United Kingdom
SRR7683041	PRJNA408020	feces	Asia	China
SRR7683044	PRJNA408020	feces	Asia	China
SRR7683055	PRJNA408020	feces	Asia	China
SRR7683056	PRJNA408020	feces	Asia	China
SRR7683058	PRJNA408020	feces	Asia	China
SRR7685246	PRJNA408020	feces	Asia	China
SRR7685247	PRJNA408020	feces	Asia	China
SRR7685248	PRJNA408020	feces	Asia	China
SRR7685255	PRJNA408020	feces	Asia	China
SRR7685261	PRJNA408020	feces	Asia	China
SRR7685270	PRJNA408020	feces	Asia	China
SRR7685276	PRJNA408020	feces	Asia	China
SRR7685277	PRJNA408020	feces	Asia	China
SRR7685279	PRJNA408020	feces	Asia	China
SRR7685280	PRJNA408020	feces	Asia	China
SRR7685281	PRJNA408020	feces	Asia	China
SRR7685282	PRJNA408020	feces	Asia	China
SRR7457734	PRJNA408020	feces	Asia	China
SRR7457735	PRJNA408020	feces	Asia	China
SRR7457736	PRJNA408020	feces	Asia	China
SRR7457737	PRJNA408020	feces	Asia	China
SRR7457738	PRJNA408020	feces	Asia	China
SRR7457739	PRJNA408020	feces	Asia	China
