Phage,Host,Source
112382.329,203743.7387,Chicken
306818.6682,363126.5957,Chicken
104326.1333,168782.6302,Chicken
3778.543268,10430.26893,Chicken
265709.9821,478571.4363,Chicken
209407.9771,557714.42,Chicken
194543.0488,258429.4374,Chicken
282227.5932,561468.0684,Chicken
409912.5913,565963.4884,Chicken
301825.1736,403989.4497,Chicken
285020.7466,398415.0159,Chicken
415331.1391,430252.6579,Chicken
83426.7484,85904.41144,Chicken
217078.8562,340877.6276,Chicken
366878.635,513212.6561,Chicken
136150.1381,245358.5444,Chicken
130331.0286,137815.3651,Chicken
41918.42268,110228.3779,Chicken
272511.2241,161183.4196,Chicken
43772.50487,61909.64509,Chicken
160012.5518,330135.3973,Chicken
321583.3872,231133.0424,Chicken
539856.3452,454806.751,Chicken
82138.98365,112600.4487,Chicken
49394.6523,44274.47943,Chicken
421116.6683,400231.1447,Chicken
188564.2832,307958.5866,Chicken
116460.6755,204438.6373,Chicken
223163.1528,146379.5128,Chicken
143818.1813,213510.5155,Chicken
55126.01193,171800.6981,Chicken
210629.7459,287295.8785,Chicken
185238.0596,147742.8611,Chicken
3970.140686,8896.576703,Chicken
117950.566,90542.9464,Chicken
25353.92502,31448.92955,Chicken
57491.00438,66440.86494,Chicken
45561.50158,49899.67867,Chicken
5077.8137,19920.79387,Chicken
351588.458,611497.9093,Chicken
427878.1654,558055.1693,Chicken
316053.7697,426118.5325,Chicken
205394.0223,286137.3671,Chicken
135658.0049,258298.0333,Chicken
320891.2905,492101.024,Chicken
128460.0305,319203.5426,Chicken
224784.291,566216.8629,Chicken
54383.76859,279815.9855,Chicken
274957.2253,490479.6205,Chicken
178940.4911,446295.3205,Chicken
103420.7405,132811.9497,Chicken
107196.6179,43565.18222,Chicken
317927.8264,573428.1348,Chicken
254849.8861,255741.2558,Chicken
67650.75674,47220.80094,Chicken
94630.82633,207030.5416,Chicken
167563.8705,507900.7235,Chicken
107982.2302,78181.19528,Chicken
104118.7192,92189.26566,Chicken
49510.30096,72631.34746,Chicken
330189.4278,545728.2278,Chicken
152453.0042,255542.3961,Chicken
142307.9181,224606.9642,Chicken
131997.9508,168612.6022,Chicken
78008.02058,102400.029,Chicken
44068.14806,59971.41656,Chicken
76621.01633,154091.8778,Chicken
150273.8488,439199.2397,Chicken
168832.7265,278248.3592,Chicken
219184.2088,283352.969,Chicken
59172.62368,57465.69088,Chicken
148707.3207,369702.0239,Chicken
170508.717,154293.8727,Chicken
18939.73038,21123.02624,Chicken
418300.578,534802.8117,Chicken
20488.20126,89329.77638,Chicken
208066.2382,263813.5764,Chicken
161760.6677,191396.9288,Chicken
131928.3523,297086.1943,Chicken
346980.9893,382310.2492,Chicken
298225.7688,413286.3478,Chicken
460414.2431,589792.0174,Chicken
162946.5755,433479.8402,Chicken
228745.7873,390626.2467,Chicken
69477.60305,127915.7332,Chicken
94374.89492,332659.6199,Chicken
77958.21021,178424.2377,Chicken
200823.0362,345710.6163,Chicken
193219.1534,367616.184,Chicken
232063.9453,519981.0465,Chicken
111865.0182,104773.7752,Chicken
366294.8758,518544.7549,Chicken
79403.03624,169156.8301,Chicken
286742.3772,413577.1248,Chicken
154028.1651,254562.0572,Chicken
293077.1314,468794.8544,Chicken
307210.9792,586708.4459,Chicken
71862.69007,251906.6148,Chicken
44975.38652,96606.07734,Chicken
38872.36959,84876.52038,Chicken
231691.9536,470982.6245,Chicken
231742.6918,346495.9079,Chicken
21584.29545,21179.788,Chicken
96664.35639,113229.0843,Chicken
163453.1971,158069.1959,Chicken
188252.5449,316286.6598,Chicken
69794.32212,113588.5275,Chicken
83316.89977,79502.95274,Chicken
41613.84608,69877.87008,Chicken
95652.8354,163101.6964,Chicken
64614.50496,51268.46426,Chicken
105752.542,235163.4136,Chicken
210380.6725,306632.855,Chicken
61046.07396,156446.9103,Chicken
62891.63111,98146.49734,Chicken
51634.92047,75081.68775,Chicken
129700.6065,419257.3292,Chicken
207072.0532,514821.7469,Chicken
309585.6993,427669.084,Chicken
354208.3003,486553.9115,Chicken
52047.32677,69234.78643,Chicken
133847.3753,120615.5781,Chicken
86160.12286,201118.4231,Chicken
160801.9755,223639.6624,Chicken
313429.0675,630870.954,Chicken
216962.1046,518848.0106,Chicken
133680.9331,246256.0875,Chicken
225521.3775,415804.6604,Chicken
39234.76774,100887.586,Chicken
56159.42574,103427.2344,Chicken
103153.6924,158357.5674,Chicken
126254.0533,273068.872,Chicken
266697.3359,397687.9132,Chicken
59069.22051,174964.1982,Chicken
119077.9745,238953.8881,Chicken
135253.1998,136432.6318,Chicken
43931.77269,33264.13646,Chicken
27453.86744,66787.15928,Chicken
320327.3468,573818.4265,Chicken
294131.0333,402644.0462,Chicken
132870.6331,215840.9797,Chicken
399458.1892,518202.3799,Chicken
180244.6945,376780.4739,Chicken
198461.3956,352741.7049,Chicken
171184.2138,412335.8195,Chicken
334612.3269,581509.8259,Chicken
303186.1401,371798.5484,Chicken
211289.0271,313302.2684,Chicken
237799.4704,431810.3687,Chicken
94249.11445,143380.0512,Chicken
138737.4521,255966.8925,Chicken
318852.6139,494399.019,Chicken
212580.0543,264116.6011,Chicken
171249.5504,198960.8136,Chicken
86081.18892,112201.3352,Chicken
86598.68586,87607.84644,Chicken
