Run,geo_loc_name_country_continent,country,latitude,longitude,colour
ERR2027927,EU,UK,55.95,3.216666667,UK
ERR2027890,EU,UK,55.95,3.216666667,UK
ERR2027923,EU,UK,55.95,3.216666667,UK
ERR2027917,EU,UK,55.95,3.216666667,UK
ERR2027922,EU,UK,55.95,3.216666667,UK
ERR2027906,EU,UK,55.95,3.216666667,UK
ERR2027895,EU,UK,55.95,3.216666667,UK
ERR2027907,EU,UK,55.95,3.216666667,UK
ERR2027914,EU,UK,55.95,3.216666667,UK
ERR2027889,EU,UK,55.95,3.216666667,UK
ERR2027924,EU,UK,55.95,3.216666667,UK
ERR2027892,EU,UK,55.95,3.216666667,UK
ERR2027900,EU,UK,55.95,3.216666667,UK
ERR2027905,EU,UK,55.95,3.216666667,UK
ERR2027901,EU,UK,55.95,3.216666667,UK
ERR2027902,EU,UK,55.95,3.216666667,UK
ERR2027913,EU,UK,55.95,3.216666667,UK
ERR2027893,EU,UK,55.95,3.216666667,UK
ERR2027916,EU,UK,55.95,3.216666667,UK
ERR2027897,EU,UK,55.95,3.216666667,UK
ERR2027909,EU,UK,55.95,3.216666667,UK
ERR2027911,EU,UK,55.95,3.216666667,UK
ERR2027898,EU,UK,55.95,3.216666667,UK
ERR2027908,EU,UK,55.95,3.216666667,UK
ERR2027910,EU,UK,55.95,3.216666667,UK
ERR2027903,EU,UK,55.95,3.216666667,UK
ERR2027891,EU,UK,55.95,3.216666667,UK
ERR2027899,EU,UK,55.95,3.216666667,UK
ERR2027929,EU,UK,55.95,3.216666667,UK
ERR2027925,EU,UK,55.95,3.216666667,UK
ERR2027919,EU,UK,55.95,3.216666667,UK
ERR2027930,EU,UK,55.95,3.216666667,UK
ERR2027896,EU,UK,55.95,3.216666667,UK
ERR2027912,EU,UK,55.95,3.216666667,UK
ERR2027921,EU,UK,55.95,3.216666667,UK
ERR2027918,EU,UK,55.95,3.216666667,UK
ERR2027928,EU,UK,55.95,3.216666667,UK
ERR2027904,EU,UK,55.95,3.216666667,UK
ERR2027920,EU,UK,55.95,3.216666667,UK
ERR2027894,EU,UK,55.95,3.216666667,UK
ERR2027915,EU,UK,55.95,3.216666667,UK
ERR2027926,EU,UK,55.95,3.216666667,UK
ERR3393549,Asia,South Korea,37.33,126.58,South Korea
ERR3393568,Asia,South Korea,37.33,126.58,South Korea
ERR3393561,Asia,South Korea,37.33,126.58,South Korea
ERR3393576,Asia,South Korea,37.33,126.58,South Korea
ERR3393557,Asia,South Korea,37.33,126.58,South Korea
ERR3393563,Asia,South Korea,37.33,126.58,South Korea
ERR3393577,Asia,South Korea,37.33,126.58,South Korea
ERR3393570,Asia,South Korea,37.33,126.58,South Korea
ERR3393571,Asia,South Korea,37.33,126.58,South Korea
ERR3393574,Asia,South Korea,37.33,126.58,South Korea
ERR3393581,Asia,South Korea,37.33,126.58,South Korea
ERR3393552,Asia,South Korea,37.33,126.58,South Korea
ERR3393556,Asia,South Korea,37.33,126.58,South Korea
ERR3393584,Asia,South Korea,37.33,126.58,South Korea
ERR3393551,Asia,South Korea,37.33,126.58,South Korea
ERR3393586,Asia,South Korea,37.33,126.58,South Korea
ERR3393585,Asia,South Korea,37.33,126.58,South Korea
ERR3393546,Asia,South Korea,37.33,126.58,South Korea
ERR3393569,Asia,South Korea,37.33,126.58,South Korea
ERR3393559,Asia,South Korea,37.33,126.58,South Korea
ERR3393583,Asia,South Korea,37.33,126.58,South Korea
ERR3393547,Asia,South Korea,37.33,126.58,South Korea
ERR3393553,Asia,South Korea,37.33,126.58,South Korea
ERR3393565,Asia,South Korea,37.33,126.58,South Korea
ERR3393560,Asia,South Korea,37.33,126.58,South Korea
ERR3393554,Asia,South Korea,37.33,126.58,South Korea
ERR3393550,Asia,South Korea,37.33,126.58,South Korea
ERR3393573,Asia,South Korea,37.33,126.58,South Korea
ERR3393582,Asia,South Korea,37.33,126.58,South Korea
ERR3393579,Asia,South Korea,37.33,126.58,South Korea
