index	VC	Species	Genomes
1	VC_1434	Chicken	2
2	VC_108	Chicken	23
3	VC_1542	Chicken	0
4	VC_939	Chicken	0
5	VC_2408	Chicken	0
6	VC_3730	Chicken	0
7	VC_109	Chicken	27
8	VC_1435	Chicken	0
9	VC_1856	Chicken	0
10	VC_1207	Chicken	9
11	VC_3712	Chicken	0
12	VC_543	Chicken	21
13	VC_1437	Chicken	0
14	VC_1358	Chicken	1
15	VC_703	Chicken	0
16	VC_3377	Chicken	0
17	VC_2082	Chicken	0
18	VC_2464	Chicken	0
19	VC_1685	Chicken	0
20	VC_402	Chicken	14
21	VC_3376	Chicken	0
22	VC_1221	Chicken	83
23	VC_544	Chicken	9
24	VC_328	Chicken	0
25	VC_3000	Chicken	0
26	VC_1723	Chicken	4
27	VC_2296	Chicken	0
28	VC_259	Chicken	6
29	VC_1481	Chicken	0
30	VC_3655	Chicken	0
31	VC_3591	Chicken	0
32	VC_3290	Chicken	0
33	VC_1543	Chicken	0
34	VC_2379	Chicken	1
35	VC_1350	Chicken	46
36	VC_1467	Chicken	0
37	VC_2845	Chicken	1
38	VC_3289	Chicken	0
39	VC_3739	Chicken	0
40	VC_290	Chicken	1
41	VC_1849	Chicken	5
42	VC_2753	Chicken	1
43	VC_3111	Chicken	0
44	VC_3043	Chicken	0
45	VC_1206	Chicken	12
46	VC_1210	Chicken	1
47	VC_1235	Chicken	55
48	VC_1971	Chicken	12
49	VC_3901	Chicken	0
50	VC_2420	Chicken	0
51	VC_2470	Chicken	0
52	VC_2206	Chicken	0
53	VC_1848	Chicken	5
54	VC_3789	Chicken	0
55	VC_4752	Chicken	0
56	VC_1708	Chicken	0
57	VC_2103	Chicken	0
58	VC_4030	Chicken	0
59	VC_3669	Chicken	0
60	VC_612	Chicken	1
61	VC_3288	Chicken	0
62	VC_3718	Chicken	0
63	VC_2331	Chicken	4
64	VC_2801	Chicken	0
65	VC_1450	Chicken	0
66	VC_953	Chicken	0
67	VC_2478	Chicken	13
68	VC_2946	Chicken	0
69	VC_1767	Chicken	0
70	VC_4173	Chicken	0
71	VC_3782	Chicken	0
72	VC_2523	Chicken	2
73	VC_1738	Chicken	0
74	VC_613	Chicken	0
75	VC_2916	Chicken	0
