otu,otu_occ,otu_rel,fill,Group,Group2
chick_phage_6293,0.067907996,0.000584195,no,Chicken,Chicken-no
chick_phage_6291,0.111719606,0.000253362,Compartments,Chicken,Chicken-Compartments
chick_phage_6290,0.093099671,8.04E-05,no,Chicken,Chicken-no
chick_phage_6287,0.227820372,0.000104321,Compartments,Chicken,Chicken-Compartments
chick_phage_6285,0.549835706,0.000299482,Compartments,Chicken,Chicken-Compartments
chick_phage_6284,0.60898138,0.000417343,Compartments,Chicken,Chicken-Compartments
chick_phage_6282,0.386637459,7.45E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_6280,0.947426068,0.002111513,Core,Chicken,Chicken-Core
chick_phage_6279,0.590361446,0.000543377,Compartments,Chicken,Chicken-Compartments
chick_phage_6269,0.372398686,0.000291786,Compartments,Chicken,Chicken-Compartments
chick_phage_6276,0.938663746,0.003619359,Core,Chicken,Chicken-Core
chick_phage_6267,0.91456736,0.001197379,Core,Chicken,Chicken-Core
chick_phage_6265,0.211391019,0.000238721,Compartments,Chicken,Chicken-Compartments
chick_phage_6263,0.938663746,0.003387457,Core,Chicken,Chicken-Core
chick_phage_6260,0.26067908,0.000233293,Compartments,Chicken,Chicken-Compartments
chick_phage_6256,0.194961665,0.001788591,Compartments,Chicken,Chicken-Compartments
chick_phage_6255,0.178532311,0.001111117,Compartments,Chicken,Chicken-Compartments
chick_phage_6251,0.258488499,0.000881768,Compartments,Chicken,Chicken-Compartments
chick_phage_6248,0.557502738,0.000169205,Compartments,Chicken,Chicken-Compartments
chick_phage_6246,0.212486309,8.49E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_6245,0.641840088,0.000114701,Compartments,Chicken,Chicken-Compartments
chick_phage_6244,0.769989047,0.000140207,Compartments,Chicken,Chicken-Compartments
chick_phage_6243,0.690032859,0.000120078,Compartments,Chicken,Chicken-Compartments
chick_phage_6242,0.872946331,0.004010494,Compartments,Chicken,Chicken-Compartments
chick_phage_6240,0.74041621,8.97E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_6239,0.600219058,0.00024192,Compartments,Chicken,Chicken-Compartments
chick_phage_6238,0.422782037,0.000253274,Compartments,Chicken,Chicken-Compartments
chick_phage_6237,0.189485214,0.000172714,Compartments,Chicken,Chicken-Compartments
chick_phage_6235,0.934282585,0.00072033,Compartments,Chicken,Chicken-Compartments
chick_phage_6234,0.621029573,0.000282462,Compartments,Chicken,Chicken-Compartments
chick_phage_6233,0.309967141,4.92E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_6231,0.851040526,0.000546219,Compartments,Chicken,Chicken-Compartments
chick_phage_6229,0.452354874,6.06E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_6226,0.592552026,0.000196479,Compartments,Chicken,Chicken-Compartments
chick_phage_6225,0.412924425,0.000281772,Compartments,Chicken,Chicken-Compartments
chick_phage_6222,0.584884995,0.000234682,Compartments,Chicken,Chicken-Compartments
chick_phage_6221,0.600219058,0.000205156,Compartments,Chicken,Chicken-Compartments
chick_phage_6218,0.188389923,5.38E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_6217,0.474260679,0.000128499,Compartments,Chicken,Chicken-Compartments
chick_phage_6215,0.385542169,0.000152824,Compartments,Chicken,Chicken-Compartments
chick_phage_6211,0.180722892,4.62E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_6208,0.871851041,0.000604193,Compartments,Chicken,Chicken-Compartments
chick_phage_6207,0.65279299,0.000873159,Compartments,Chicken,Chicken-Compartments
chick_phage_6206,0.311062432,0.0001692,Compartments,Chicken,Chicken-Compartments
chick_phage_6203,0.894852136,0.001139513,Compartments,Chicken,Chicken-Compartments
chick_phage_6201,0.800657174,0.000427484,Compartments,Chicken,Chicken-Compartments
chick_phage_6200,0.159912377,8.85E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_6264,0.141292442,1.65E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_6199,0.674698795,0.000156987,Compartments,Chicken,Chicken-Compartments
chick_phage_6192,0.374589266,5.56E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_6191,0.750273823,0.000238962,Compartments,Chicken,Chicken-Compartments
chick_phage_6188,0.6067908,0.000493364,Compartments,Chicken,Chicken-Compartments
chick_phage_6187,0.135815991,3.70E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_6186,0.853231106,0.00063037,Compartments,Chicken,Chicken-Compartments
chick_phage_6185,0.576122673,0.000824889,Compartments,Chicken,Chicken-Compartments
chick_phage_6184,0.481927711,6.50E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_6183,0.572836802,0.000423698,Compartments,Chicken,Chicken-Compartments
chick_phage_6181,0.832420591,0.002509441,Compartments,Chicken,Chicken-Compartments
chick_phage_6180,0.076670318,6.20E-06,no,Chicken,Chicken-no
chick_phage_6179,0.203723987,0.000194376,Compartments,Chicken,Chicken-Compartments
chick_phage_6178,0.629791895,0.000139163,Compartments,Chicken,Chicken-Compartments
chick_phage_6174,0.177437021,0.000165011,Compartments,Chicken,Chicken-Compartments
chick_phage_6173,0.184008762,0.000166322,Compartments,Chicken,Chicken-Compartments
chick_phage_6172,0.616648412,0.000512186,Compartments,Chicken,Chicken-Compartments
chick_phage_6171,0.265060241,2.32E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_6166,0.856516977,0.000244547,Compartments,Chicken,Chicken-Compartments
chick_phage_6162,0.796276013,0.000135564,Compartments,Chicken,Chicken-Compartments
chick_phage_6160,0.179627601,1.78E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_6159,0.628696605,0.000330037,Compartments,Chicken,Chicken-Compartments
chick_phage_6154,0.557502738,0.000107629,Compartments,Chicken,Chicken-Compartments
chick_phage_6153,0.622124863,0.000209446,Compartments,Chicken,Chicken-Compartments
chick_phage_6149,0.181818182,0.000346298,Compartments,Chicken,Chicken-Compartments
chick_phage_6148,0.400876232,0.000145952,Compartments,Chicken,Chicken-Compartments
chick_phage_6146,0.210295728,0.000153941,Compartments,Chicken,Chicken-Compartments
chick_phage_6145,0.075575027,1.26E-05,no,Chicken,Chicken-no
