id	BioProject	Source	continent	country
ERR2027927	PRJEB21624	feces	Europe	UK
ERR2027890	PRJEB21624	feces	Europe	UK
ERR2027923	PRJEB21624	feces	Europe	UK
ERR2027917	PRJEB21624	feces	Europe	UK
ERR2027922	PRJEB21624	feces	Europe	UK
ERR2027906	PRJEB21624	feces	Europe	UK
ERR2027895	PRJEB21624	feces	Europe	UK
ERR2027907	PRJEB21624	feces	Europe	UK
ERR2027914	PRJEB21624	feces	Europe	UK
ERR2027889	PRJEB21624	feces	Europe	UK
ERR2027924	PRJEB21624	feces	Europe	UK
ERR2027892	PRJEB21624	feces	Europe	UK
ERR2027900	PRJEB21624	feces	Europe	UK
ERR2027905	PRJEB21624	feces	Europe	UK
ERR2027901	PRJEB21624	feces	Europe	UK
ERR2027902	PRJEB21624	feces	Europe	UK
ERR2027913	PRJEB21624	feces	Europe	UK
ERR2027893	PRJEB21624	feces	Europe	UK
ERR2027916	PRJEB21624	feces	Europe	UK
ERR2027897	PRJEB21624	feces	Europe	UK
ERR2027909	PRJEB21624	feces	Europe	UK
ERR2027911	PRJEB21624	feces	Europe	UK
ERR2027898	PRJEB21624	feces	Europe	UK
ERR2027908	PRJEB21624	feces	Europe	UK
ERR2027910	PRJEB21624	feces	Europe	UK
ERR2027903	PRJEB21624	feces	Europe	UK
ERR2027891	PRJEB21624	feces	Europe	UK
ERR2027899	PRJEB21624	feces	Europe	UK
ERR2027929	PRJEB21624	feces	Europe	UK
ERR2027925	PRJEB21624	feces	Europe	UK
ERR2027919	PRJEB21624	feces	Europe	UK
ERR2027930	PRJEB21624	feces	Europe	UK
ERR2027896	PRJEB21624	feces	Europe	UK
ERR2027912	PRJEB21624	feces	Europe	UK
ERR2027921	PRJEB21624	feces	Europe	UK
ERR2027918	PRJEB21624	feces	Europe	UK
ERR2027928	PRJEB21624	feces	Europe	UK
ERR2027904	PRJEB21624	feces	Europe	UK
ERR2027920	PRJEB21624	feces	Europe	UK
ERR2027894	PRJEB21624	feces	Europe	UK
ERR2027915	PRJEB21624	feces	Europe	UK
ERR2027926	PRJEB21624	feces	Europe	UK
ERR3393549	PRJEB32496	feces	Asia	South Korea
ERR3393568	PRJEB32496	feces	Asia	South Korea
ERR3393561	PRJEB32496	feces	Asia	South Korea
ERR3393576	PRJEB32496	feces	Asia	South Korea
ERR3393557	PRJEB32496	feces	Asia	South Korea
ERR3393563	PRJEB32496	feces	Asia	South Korea
ERR3393577	PRJEB32496	feces	Asia	South Korea
ERR3393570	PRJEB32496	feces	Asia	South Korea
ERR3393571	PRJEB32496	feces	Asia	South Korea
ERR3393574	PRJEB32496	feces	Asia	South Korea
ERR3393581	PRJEB32496	feces	Asia	South Korea
ERR3393552	PRJEB32496	feces	Asia	South Korea
ERR3393556	PRJEB32496	feces	Asia	South Korea
ERR3393584	PRJEB32496	feces	Asia	South Korea
ERR3393551	PRJEB32496	feces	Asia	South Korea
ERR3393586	PRJEB32496	feces	Asia	South Korea
ERR3393585	PRJEB32496	feces	Asia	South Korea
