Category,Group,GC
Phylum,Proteobacteria,42.79
Phylum,Firmicutes,43.06
Phylum,Proteobacteria,43.19
Phylum,Proteobacteria,43.38
Phylum,Proteobacteria,43.07
Phylum,Proteobacteria,43.2
Phylum,Proteobacteria,42.94
Phylum,Proteobacteria,43.37
Phylum,Proteobacteria,43.38
Phylum,Proteobacteria,43.43
Phylum,Proteobacteria,43.29
Phylum,Proteobacteria,42.42
Phylum,Proteobacteria,42.97
Phylum,Proteobacteria,42.42
Phylum,Proteobacteria,43.31
Phylum,Proteobacteria,42.45
Phylum,Proteobacteria,43.47
Phylum,Proteobacteria,42.87
Phylum,Proteobacteria,43.38
Phylum,Proteobacteria,43.5
Phylum,Proteobacteria,42.77
Phylum,Proteobacteria,43.08
Phylum,Proteobacteria,41.1
Phylum,Proteobacteria,43.51
Phylum,Proteobacteria,43.08
Phylum,Proteobacteria,43.98
Phylum,Proteobacteria,43
Phylum,Proteobacteria,43.45
Phylum,Proteobacteria,42.85
Phylum,Proteobacteria,43.22
Phylum,Proteobacteria,43.23
Phylum,Proteobacteria,43.23
Phylum,Proteobacteria,43.47
Phylum,Proteobacteria,42.63
Phylum,Proteobacteria,43.51
Phylum,Proteobacteria,43.18
Phylum,Proteobacteria,43.33
Phylum,Proteobacteria,43.08
Phylum,Proteobacteria,41.32
Phylum,Proteobacteria,41.15
Phylum,Proteobacteria,40.74
Phylum,Proteobacteria,41.15
Phylum,Bacteroidota,42.03
Phylum,Proteobacteria,37.36
Phylum,Bacteroidota,33.62
Phylum,Bacteroidota,33.5
Phylum,Firmicutes,31.57
Phylum,Firmicutes,31.46
Phylum,Firmicutes,31.47
Phylum,Proteobacteria,31.69
Phylum,Firmicutes,60.26
Phylum,Bacteroidota,37.98
Phylum,Proteobacteria,43.54
Phylum,Proteobacteria,42.28
Phylum,Bacteroidota,48.11
Phylum,Firmicutes,42.83
Phylum,Firmicutes,47.95
Phylum,Firmicutes,35.66
Phylum,Firmicutes,42.15
Phylum,Firmicutes,42.15
Phylum,Firmicutes,40.17
Phylum,Firmicutes,40.2
Phylum,Firmicutes,40.2
Phylum,Firmicutes,40.2
Phylum,Firmicutes,40.2
Phylum,Firmicutes,36.83
Phylum,Firmicutes,39.72
Phylum,Firmicutes,38.26
Phylum,Firmicutes,39.31
Phylum,Firmicutes,39.86
Phylum,Firmicutes,39.43
Phylum,Firmicutes,39.99
Phylum,Firmicutes,39.97
Phylum,Firmicutes,56.98
Phylum,Firmicutes,56.58
Phylum,Firmicutes,54.16
Phylum,Proteobacteria,54.26
Phylum,Firmicutes,54.1
Phylum,Firmicutes,54.28
Phylum,Firmicutes,53.11
Phylum,Firmicutes,58.09
Phylum,Firmicutes,53.97
Phylum,Firmicutes,50.71
Phylum,Firmicutes,47.39
Phylum,Firmicutes,51.01
Phylum,Bacteroidota,52.51
Phylum,Firmicutes,39.22
Phylum,Firmicutes,51.69
Phylum,Firmicutes,44.96
Phylum,Firmicutes,49.15
Phylum,Proteobacteria,35.31
Phylum,Firmicutes,38.02
Phylum,Proteobacteria,35.79
Phylum,Firmicutes,32.9
Phylum,Firmicutes,39.86
Phylum,Firmicutes,39.7
Phylum,Firmicutes,55.48
Phylum,Firmicutes,46.73
Phylum,Firmicutes,46.97
Phylum,Firmicutes,57.7
Phylum,Firmicutes,60.18
Phylum,Firmicutes,60.32
Phylum,Firmicutes,60.18
Phylum,Firmicutes,28.42
Phylum,Bacteroidota,45.91
Phylum,Firmicutes,53.35
Phylum,Firmicutes,50.23
Phylum,Firmicutes,50.09
Phylum,Firmicutes,56.49
Phylum,Firmicutes,45.18
Phylum,Firmicutes,50.5
Phylum,Firmicutes,48.02
Phylum,Firmicutes,49.57
Phylum,Firmicutes,56.49
Phylum,Firmicutes,58.37
Phylum,Bacteroidota,49.13
Phylum,Firmicutes,48.61
Phylum,Bacteroidota,50.09
Phylum,Firmicutes,51.39
Phylum,Bacteroidota,51.93
Phylum,Bacteroidota,48.62
Phylum,Bacteroidota,48.62
Phylum,Bacteroidota,48.14
Phylum,Bacteroidota,48.47
Phylum,Bacteroidota,48.17
Phylum,Bacteroidota,48.27
Phylum,Proteobacteria,43.08
Phylum,Firmicutes,35.13
Phylum,Firmicutes,35.66
Phylum,Firmicutes,35.21
Phylum,Firmicutes,35.87
Phylum,Firmicutes,35.7
Phylum,Firmicutes,35.17
Phylum,Firmicutes,35.41
Phylum,Firmicutes,35.7
Phylum,Firmicutes,36.04
Phylum,Firmicutes,35.85
Phylum,Firmicutes,35.4
Phylum,Firmicutes,35.74
Phylum,Firmicutes,35.65
Phylum,Firmicutes,34.88
Phylum,Firmicutes,35.63
Phylum,Firmicutes,35.66
Phylum,Firmicutes,35.87
Phylum,Firmicutes,35.4
Phylum,Firmicutes,35.85
Phylum,Firmicutes,35.87
Phylum,Firmicutes,35.17
Phylum,Firmicutes,35.63
Phylum,Firmicutes,36.04
Phylum,Firmicutes,35.17
Phylum,Firmicutes,35.4
Phylum,Firmicutes,35.87
Phylum,Firmicutes,35.4
Phylum,Firmicutes,35.63
Phylum,Firmicutes,35.66
Phylum,Firmicutes,35.7
Phylum,Firmicutes,35.13
Phylum,Firmicutes,35.63
Phylum,Firmicutes,35.41
Phylum,Firmicutes,35.85
Phylum,Firmicutes,36.04
Phylum,Firmicutes,35.65
Phylum,Firmicutes,34.88
Phylum,Firmicutes,36.21
Phylum,Firmicutes,31.58
Phylum,Firmicutes,30.74
Phylum,Bacteroidota,45.91
Phylum,Bacteroidota,48.49
Phylum,Bacteroidota,50.25
Phylum,Bacteroidota,38.46
Phylum,Proteobacteria,33.19
Phylum,Firmicutes,36.74
Phylum,Bacteroidota,35.97
Phylum,Bacteroidota,33.5
Phylum,Bacteroidota,35.76
Phylum,Bacteroidota,35.97
Phylum,Firmicutes,37.15
Phylum,Firmicutes,35.63
Phylum,Firmicutes,35.65
Phylum,Firmicutes,37.19
Phylum,Firmicutes,36.34
Phylum,Firmicutes,34.15
Phylum,Firmicutes,33.95
Phylum,Bacteroidota,46.51
Phylum,Firmicutes,34.6
Phylum,Proteobacteria,42.77
Phylum,Firmicutes,33.86
Phylum,Firmicutes,35.78
Phylum,Firmicutes,33.95
Phylum,Firmicutes,33.95
Phylum,Firmicutes,34.06
Phylum,Firmicutes,34.15
Phylum,Firmicutes,35.63
Phylum,Firmicutes,36.74
Phylum,Firmicutes,34.14
Phylum,Firmicutes,35.63
Phylum,Firmicutes,36.95
Phylum,Firmicutes,37.27
Phylum,Firmicutes,37.27
Phylum,Firmicutes,36.95
Phylum,Firmicutes,37.15
Phylum,Firmicutes,34.06
Phylum,Firmicutes,33.95
Phylum,Firmicutes,34.15
Phylum,Firmicutes,33.95
Phylum,Firmicutes,34.6
Phylum,Firmicutes,34.27
Phylum,Firmicutes,34.06
Phylum,Firmicutes,34.6
Phylum,Firmicutes,35.65
Phylum,Firmicutes,33.94
Phylum,Firmicutes,35.65
Phylum,Firmicutes,36.32
Phylum,Firmicutes,36.34
Phylum,Firmicutes,37.19
Phylum,Firmicutes,37.19
Phylum,Firmicutes,37.52
Phylum,Firmicutes,37.52
Phylum,Firmicutes,37.13
Phylum,Bacteroidota,38.04
Phylum,Firmicutes,29.2
Phylum,Firmicutes,29.2
Phylum,Firmicutes,37.14
Phylum,Proteobacteria,35.88
Phylum,Firmicutes,36.74
Phylum,Firmicutes,31.57
Phylum,Bacteroidota,34.62
Phylum,Bacteroidota,33.66
Phylum,Bacteroidota,33.65
Phylum,Firmicutes,32.83
Phylum,Firmicutes,34.64
Phylum,Bacteroidota,36.65
Phylum,Bacteroidota,35.71
Phylum,Bacteroidota,35.06
Phylum,Bacteroidota,36.5
Phylum,Bacteroidota,36.45
Phylum,Bacteroidota,36.47
Phylum,Bacteroidota,36.08
Phylum,Bacteroidota,36.18
Phylum,Firmicutes,36.46
Phylum,Bacteroidota,35.95
Phylum,Bacteroidota,36.76
Phylum,Bacteroidota,36.17
Phylum,Bacteroidota,40.36
Phylum,Bacteroidota,40.41
Phylum,Firmicutes,24.54
Phylum,Firmicutes,24.57
Phylum,Firmicutes,34.14
Phylum,Firmicutes,36.62
Phylum,Bacteroidota,37.84
Phylum,Bacteroidota,28.46
Phylum,Bacteroidota,30.09
Phylum,Bacteroidota,30.41
Phylum,Bacteroidota,30.98
Phylum,Bacteroidota,29
Phylum,Bacteroidota,26.68
Phylum,Bacteroidota,27.96
Phylum,Bacteroidota,27.96
Phylum,Bacteroidota,27.7
Phylum,Bacteroidota,27.33
Phylum,Bacteroidota,30.06
Phylum,Bacteroidota,30.29
Phylum,Bacteroidota,29.59
Phylum,Bacteroidota,34.4
Phylum,Bacteroidota,33.17
Phylum,Bacteroidota,34.4
Phylum,Bacteroidota,33.26
Phylum,Bacteroidota,34.4
Phylum,Firmicutes,39.14
Phylum,Firmicutes,35.24
Phylum,Firmicutes,35.13
Phylum,Firmicutes,30.45
Phylum,Firmicutes,30.52
Phylum,Firmicutes,30.77
Phylum,Proteobacteria,43.96
Phylum,Proteobacteria,43.85
Phylum,Proteobacteria,43.79
Phylum,Proteobacteria,43.41
