ID,source,abundance
SRR12529030,Goat,0.62565
SRR12529031,Goat,1.0043
SRR12529032,Goat,0
SRR12529033,Goat,0.609015
SRR12529034,Goat,0
SRR12529035,Goat,0.116717
SRR12529036,Goat,0
SRR12529037,Goat,4.693652
SRR12529038,Goat,0.58129
SRR12529039,Goat,0
SRR12529041,Goat,0
SRR12529042,Goat,0
SRR12529043,Goat,0
SRR12529044,Goat,1.807104
SRR12529045,Goat,0.746272
SRR12529046,Goat,0
SRR12529047,Goat,0
SRR12529048,Goat,0
SRR12529049,Goat,0
SRR12529050,Goat,1.838384
SRR12529052,Goat,0.190397
SRR12529053,Goat,0
SRR12529054,Goat,0
SRR12529055,Goat,0
SRR12529056,Goat,0
SRR12529057,Goat,0.124884
SRR12529058,Goat,0
SRR12529059,Goat,0
SRR12529060,Goat,0
SRR12529061,Goat,0
SRR12529063,Goat,0
SRR12529064,Goat,1.875407
SRR12529065,Goat,0
SRR12529066,Goat,0
SRR12529067,Goat,0
SRR12529068,Goat,0
SRR12529069,Goat,0
SRR12529070,Goat,0.38735
SRR12529071,Goat,0.503446
SRR12529072,Goat,0
SRR12529376,Goat,0
SRR12529377,Goat,0.594893
SRR12529378,Goat,0.147301
SRR12529379,Goat,3.095907
SRR12529380,Goat,1.114277
SRR12529381,Goat,0.178267
SRR12529382,Goat,0
SRR12529383,Goat,0
SRR12529384,Goat,0
SRR12529385,Goat,7.12566
SRR12529387,Goat,1.49355
SRR12529388,Goat,0.535147
SRR12529389,Goat,0.356003
SRR12529390,Goat,0
SRR12529391,Goat,0
SRR12529392,Goat,1.32476
SRR12529393,Goat,0
SRR12529394,Goat,0
SRR12529395,Goat,0
SRR12529396,Goat,0
SRR12529265,Sheep,11.595148
SRR12529266,Sheep,15.802845
SRR12529267,Sheep,6.379607
SRR12529268,Sheep,167.211598
SRR12529269,Sheep,319.417414
SRR12529270,Sheep,8.319659
SRR12529271,Sheep,10.450895
SRR12529272,Sheep,8.523225
SRR12529273,Sheep,109.905194
SRR12529274,Sheep,168.652013
SRR12529276,Sheep,97.324423
SRR12529277,Sheep,96.309868
SRR12529278,Sheep,164.902188
SRR12529279,Sheep,295.827471
SRR12529280,Sheep,24.215372
SRR12529281,Sheep,10.57519
SRR12529282,Sheep,10.024281
SRR12529283,Sheep,0.261316
SRR12529284,Sheep,162.535665
SRR12529285,Sheep,247.636063
SRR12529288,Sheep,0.786191
SRR12529289,Sheep,1.003322
SRR12529290,Sheep,0.854824
SRR12529291,Sheep,5.889792
SRR12529292,Sheep,13.3284
SRR12529293,Sheep,0.195411
SRR12529294,Sheep,1.347775
SRR12529295,Sheep,0.501913
SRR12529296,Sheep,4.141772
SRR12529297,Sheep,3.340344
SRR12529299,Sheep,0.070186
SRR12529300,Sheep,0.792556
SRR12529301,Sheep,0.505997
SRR12529302,Sheep,1.111687
SRR12529303,Sheep,2.361572
SRR12529304,Sheep,96.179158
SRR12529305,Sheep,75.363783
SRR12529306,Sheep,215.914245
SRR12529307,Sheep,299.285466
SRR12529308,Sheep,16.94821
SRR12529310,Sheep,39.276666
SRR12529311,Sheep,82.032663
SRR12529312,Sheep,152.838953
SRR12529313,Sheep,404.562002
SRR12529314,Sheep,21.93205
SRR12529315,Sheep,2.935948
SRR12529316,Sheep,3.427061
SRR12529317,Sheep,0.567695
SRR12529318,Sheep,60.618361
SRR12529319,Sheep,33.703215
