Hosts	Species	number	Phylum
Bacteroides	sum	25.633	Bacteroidota
Prevotella	sum	14.635	Bacteroidota
Lactobacillus	sum	13.691	Firmicutes
Escherichia	sum	13.004	Proteobacteria
Limosilactobacillus	sum	11.4	Firmicutes
Ruminococcus	sum	11.03	Firmicutes
Ligilactobacillus	sum	10.5	Firmicutes
Faecalibacterium	sum	9.401	Firmicutes
Bifidobacterium	sum	8.658	Firmicutes
Blautia	sum	8.252	Firmicutes
Lacticaseibacillus	sum	7.35	Firmicutes
Parabacteroides	sum	7.16	Bacteroidota
Alistipes	sum	5.346	Bacteroidota
Gemmiger	sum	5.23	Firmicutes
Eubacterium	sum	4.061	Firmicutes
Streptococcus	sum	3.839	Firmicutes
Clostridium	sum	3.205	Firmicutes
Rs-D84	sum	3.17	Proteobacteria
CAG-83	sum	3.03	Firmicutes
Staphylococcus	sum	2.8	Firmicutes
CAG-110	sum	2.69	Firmicutes
Treponema	sum	2.51	Spirochaetota
Enterococcus	sum	2.453	Firmicutes
RC9	sum	1.98	Bacteroidota
Megamonas	sum	1.959	Firmicutes
Veillonella	sum	1.649	Firmicutes
ER4	sum	1.625	Firmicutes
Romboutsia	sum	1.5	Firmicutes
Companilactobacillus	sum	1.49	Firmicutes
Phocaeicola	sum	1.39	Bacteroidota
Salmonella	sum	1.35	Pseudomonadota
Enterobacteria	sum	1.19	Proteobacteria
Corynebacterium	sum	1.11	Actinobacteriota
Dysosmobacter	sum	1	Firmicutes
F082	sum	0.995	Bacteroidota
Citrobacter	sum	0.88	Pseudomonadota
Campylobacter	sum	0.771	Campylobacterota
CAG-170	sum	0.751	Firmicutes
HGM04593	sum	0.716	Bacteroidota
RF16	sum	0.699	Pseudomonadota
CAG-349	sum	0.611	Firmicutes
Fibrobacter	sum	0.576	Fibrobacterota
CAG-1435	sum	0.543	Firmicutes
CAG-822	sum	0.518	Firmicutes
Bacteroides	Ruminant	7.21	Bacteroidota
Prevotella	Ruminant	6.44	Bacteroidota
Alistipes	Ruminant	2.87	Bacteroidota
Ruminococcus	Ruminant	1.28	Firmicutes
RC9	Ruminant	1.14	Bacteroidota
CAG-110	Ruminant	0.926	Firmicutes
Rs-D84	Ruminant	0.908	Proteobacteria
Parabacteroides	Ruminant	0.908	Bacteroidota
F082	Ruminant	0.803	Bacteroidota
HGM04593	Ruminant	0.716	Bacteroidota
RF16	Ruminant	0.699	Pseudomonadota
Escherichia	Ruminant	0.594	Proteobacteria
Fibrobacter	Ruminant	0.576	Fibrobacterota
Treponema	Ruminant	0.428	Spirochaetota
Phocaeicola	Ruminant	0.41	Bacteroidota
Eubacterium	Ruminant	0.244	Firmicutes
Dysosmobacter	Ruminant	0.218	Firmicutes
CAG-83	Ruminant	0.201	Firmicutes
Streptococcus	Ruminant	0.131	Firmicutes
Faecalibacterium	Ruminant	0.114	Firmicutes
Salmonella	Ruminant	0.114	Pseudomonadota
Lactobacillus	Ruminant	0.0873	Firmicutes
Bifidobacterium	Ruminant	0.0873	Firmicutes
Limosilactobacillus	Ruminant	0	Firmicutes
Ligilactobacillus	Ruminant	0	Firmicutes
Lacticaseibacillus	Ruminant	0	Firmicutes
Gemmiger	Ruminant	0	Firmicutes
Staphylococcus	Ruminant	0	Firmicutes
Enterococcus	Ruminant	0	Firmicutes
Romboutsia	Ruminant	0	Firmicutes
Companilactobacillus	Ruminant	0	Firmicutes
Enterobacteria	Ruminant	0	Proteobacteria
Corynebacterium	Ruminant	0	Actinobacteriota
Megamonas	Ruminant	0	Firmicutes
Clostridium	Ruminant	0	Firmicutes
Citrobacter	Ruminant	0	Pseudomonadota
Campylobacter	Ruminant	0	Campylobacterota
CAG-170	Ruminant	0	Firmicutes
Veillonella	Ruminant	0	Firmicutes
Blautia	Ruminant	0	Firmicutes
CAG-349	Ruminant	0	Firmicutes
ER4	Ruminant	0	Firmicutes
CAG-1435	Ruminant	0	Firmicutes
CAG-822	Ruminant	0	Firmicutes
Gemmiger	Pig	4.07	Firmicutes
Prevotella	Pig	3.96	Bacteroidota
CAG-83	Pig	2.83	Firmicutes
Bacteroides	Pig	2.2	Bacteroidota
Treponema	Pig	2.08	Spirochaetota
Eubacterium	Pig	1.47	Firmicutes
CAG-110	Pig	1.45	Firmicutes
Lactobacillus	Pig	1.38	Firmicutes
Ruminococcus	Pig	1.29	Firmicutes
Faecalibacterium	Pig	1.17	Firmicutes
Limosilactobacillus	Pig	1.05	Firmicutes
Escherichia	Pig	0.943	Proteobacteria
Streptococcus	Pig	0.838	Firmicutes
Lacticaseibacillus	Pig	0.803	Firmicutes
Dysosmobacter	Pig	0.785	Firmicutes
Ligilactobacillus	Pig	0.768	Firmicutes
CAG-170	Pig	0.751	Firmicutes
Veillonella	Pig	0.698	Firmicutes
Rs-D84	Pig	0.681	Proteobacteria
CAG-349	Pig	0.611	Firmicutes
ER4	Pig	0.611	Firmicutes
RC9	Pig	0.506	Bacteroidota
Blautia	Pig	0.349	Firmicutes
Salmonella	Pig	0.279	Pseudomonadota
Campylobacter	Pig	0.279	Campylobacterota
Parabacteroides	Pig	0.262	Bacteroidota
Clostridium	Pig	0.227	Firmicutes
Enterococcus	Pig	0.209	Firmicutes
F082	Pig	0.192	Bacteroidota
Companilactobacillus	Pig	0.14	Firmicutes
Alistipes	Pig	0	Bacteroidota
Staphylococcus	Pig	0	Firmicutes
Romboutsia	Pig	0	Firmicutes
Phocaeicola	Pig	0	Bacteroidota
Enterobacteria	Pig	0	Proteobacteria
Corynebacterium	Pig	0	Actinobacteriota
Megamonas	Pig	0	Firmicutes
Citrobacter	Pig	0	Pseudomonadota
Bifidobacterium	Pig	0	Firmicutes
HGM04593	Pig	0	Bacteroidota
RF16	Pig	0	Pseudomonadota
Fibrobacter	Pig	0	Fibrobacterota
CAG-1435	Pig	0	Firmicutes
CAG-822	Pig	0	Firmicutes
Bacteroides	Human	13.33333333	Bacteroidota
Ruminococcus	Human	8.460076046	Firmicutes
Bifidobacterium	Human	7.794676806	Firmicutes
Blautia	Human	7.591888466	Firmicutes
Faecalibacterium	Human	7.160963245	Firmicutes
Parabacteroides	Human	5.190114068	Bacteroidota
Prevotella	Human	3.434727503	Bacteroidota
Eubacterium	Human	2.351077313	Firmicutes
Clostridium	Human	2.205323194	Firmicutes
ER4	Human	1.013941698	Firmicutes
Veillonella	Human	0.950570342	Firmicutes
Megamonas	Human	0.918884664	Firmicutes
Lactobacillus	Human	0.690747782	Firmicutes
Streptococcus	Human	0.589353612	Firmicutes
Enterococcus	Human	0.583016477	Firmicutes
Alistipes	Human	0.456273764	Bacteroidota
Escherichia	Human	0.30418251	Proteobacteria
Limosilactobacillus	Human	0	Firmicutes
Ligilactobacillus	Human	0	Firmicutes
Lacticaseibacillus	Human	0	Firmicutes
Gemmiger	Human	0	Firmicutes
Rs-D84	Human	0	Proteobacteria
CAG-83	Human	0	Firmicutes
Staphylococcus	Human	0	Firmicutes
CAG-110	Human	0	Firmicutes
Treponema	Human	0	Spirochaetota
RC9	Human	0	Bacteroidota
Romboutsia	Human	0	Firmicutes
Companilactobacillus	Human	0	Firmicutes
Phocaeicola	Human	0	Bacteroidota
Salmonella	Human	0	Pseudomonadota
Enterobacteria	Human	0	Proteobacteria
Corynebacterium	Human	0	Actinobacteriota
Dysosmobacter	Human	0	Firmicutes
F082	Human	0	Bacteroidota
Citrobacter	Human	0	Pseudomonadota
Campylobacter	Human	0	Campylobacterota
CAG-170	Human	0	Firmicutes
HGM04593	Human	0	Bacteroidota
RF16	Human	0	Pseudomonadota
CAG-349	Human	0	Firmicutes
Fibrobacter	Human	0	Fibrobacterota
CAG-1435	Human	0	Firmicutes
CAG-822	Human	0	Firmicutes
Lactobacillus	Chicken	11.5	Firmicutes
Escherichia	Chicken	11.2	Proteobacteria
Limosilactobacillus	Chicken	10.3	Firmicutes
Ligilactobacillus	Chicken	9.73	Firmicutes
Lacticaseibacillus	Chicken	6.55	Firmicutes
Bacteroides	Chicken	2.92	Bacteroidota
Staphylococcus	Chicken	2.8	Firmicutes
Streptococcus	Chicken	2.28	Firmicutes
Alistipes	Chicken	2.02	Bacteroidota
Enterococcus	Chicken	1.66	Firmicutes
Rs-D84	Chicken	1.58	Proteobacteria
Romboutsia	Chicken	1.5	Firmicutes
Companilactobacillus	Chicken	1.35	Firmicutes
Enterobacteria	Chicken	1.19	Proteobacteria
Gemmiger	Chicken	1.16	Firmicutes
Corynebacterium	Chicken	1.11	Actinobacteriota
Megamonas	Chicken	1.04	Firmicutes
Phocaeicola	Chicken	0.983	Bacteroidota
Faecalibacterium	Chicken	0.958	Firmicutes
Salmonella	Chicken	0.958	Pseudomonadota
Citrobacter	Chicken	0.88	Pseudomonadota
Prevotella	Chicken	0.802	Bacteroidota
Parabacteroides	Chicken	0.802	Bacteroidota
Clostridium	Chicken	0.776	Firmicutes
Bifidobacterium	Chicken	0.776	Firmicutes
CAG-1435	Chicken	0.543	Firmicutes
CAG-822	Chicken	0.518	Firmicutes
Campylobacter	Chicken	0.492	Campylobacterota
RC9	Chicken	0.336	Bacteroidota
CAG-110	Chicken	0.311	Firmicutes
Blautia	Chicken	0.311	Firmicutes
CAG-83	Chicken	0	Firmicutes
Ruminococcus	Chicken	0	Firmicutes
Treponema	Chicken	0	Spirochaetota
Eubacterium	Chicken	0	Firmicutes
Dysosmobacter	Chicken	0	Firmicutes
F082	Chicken	0	Bacteroidota
CAG-170	Chicken	0	Firmicutes
HGM04593	Chicken	0	Bacteroidota
RF16	Chicken	0	Pseudomonadota
Veillonella	Chicken	0	Firmicutes
CAG-349	Chicken	0	Firmicutes
ER4	Chicken	0	Firmicutes
Fibrobacter	Chicken	0	Fibrobacterota
