Species	Category	Rate
Chick	Phage	0.01327
Chick	Phage	0.02075
Chick	Phage	0.01213
Chick	Phage	0.01335
Chick	Phage	0.01256
Chick	Phage	0.01677
Chick	Phage	0.00751
Chick	Phage	0.01592
Chick	Phage	0.01732
Chick	Phage	0.01878
Chick	Phage	0.01606
Chick	Phage	0.0126
Chick	Phage	0.01313
Chick	Phage	0.02008
Chick	Phage	0.01655
Chick	Phage	0.0584
Chick	Phage	0.01769
Chick	Phage	0.0166
Chick	Phage	0.01437
Chick	Phage	0.01741
Chick	Phage	0.0353
Chick	Phage	0.0103
Chick	Phage	0.01746
Chick	Phage	0.02108
Chick	Phage	0.01614
Chick	Phage	0.01648
Chick	Phage	0.01109
Chick	Phage	0.01888
Chick	Phage	0.01564
Chick	Phage	0.00687
Chick	Phage	0.01834
Chick	Phage	0.02504
Chick	Phage	0.01356
Chick	Phage	0.03135
Chick	Phage	0.02278
Chick	Phage	0.09213
Chick	Phage	0.00838
Chick	Phage	0.03496
Chick	Phage	0.01708
Chick	Phage	0.0258
Chick	Phage	0.08674
Chick	Phage	0.00562
Chick	Phage	0.01536
Chick	Phage	0.0035
Chick	Phage	0.05872
Chick	Phage	0.03229
Chick	Phage	0.00588
Chick	Phage	0.02635
Chick	Phage	0.00123
Chick	Phage	0.01749
Chick	Phage	0.03913
Chick	Phage	0.05353
Chick	Phage	0.05473
Chick	Phage	0.04561
Chick	Phage	0.0399
Chick	Phage	0.04305
Chick	Phage	0.05434
Chick	Phage	0.07297
Chick	Phage	0.05699
Chick	Phage	0.03213
Chick	Phage	0.05709
Chick	Phage	0.04703
Chick	Phage	0.03796
Chick	Phage	0.03843
Chick	Phage	0.03817
Chick	Phage	0.08672
Chick	Phage	0.04662
Chick	Phage	0.04085
Chick	Phage	0.03193
Chick	Phage	0.05603
Chick	Phage	0.09515
Chick	Phage	0.05619
Chick	Phage	0.03455
Chick	Phage	0.0763
Chick	Phage	0.01324
Chick	Phage	0.02055
Chick	Phage	0.02482
Chick	Phage	0.01482
Chick	Phage	0.07037
Chick	Phage	0.04731
Chick	Phage	0.00908
Chick	Phage	0.01548
Chick	Phage	0.1363
Chick	Phage	0.02353
Chick	Phage	0.01694
Chick	Phage	0.01721
Chick	Phage	0.02837
Chick	Phage	0.01121
Chick	Phage	0.0141
Chick	Phage	0.00674
Chick	Phage	0.01573
Chick	Phage	0.01973
Chick	Phage	0.0333
Chick	Phage	0.01495
Chick	Phage	0.01821
Chick	Phage	0.01633
Chick	Phage	0.02329
Chick	Phage	0.02068
Chick	Phage	0.02219
Chick	Phage	0.01389
Chick	Phage	0.03139
Chick	Phage	0.01227
Chick	Phage	0.00954
Chick	Phage	0.01134
Chick	Phage	0.01149
Chick	Phage	0.0413
Chick	Phage	0.10077
Chick	Phage	0.0357
Chick	Phage	0.01753
Chick	Phage	0.02742
Chick	Phage	0.04062
Chick	Phage	0.01401
Chick	Phage	0.02236
Chick	Phage	0.01972
Chick	Phage	0.01493
Chick	Phage	0.01294
Chick	Phage	0.0202
Chick	Phage	0.00558
Chick	Phage	0.02294
Chick	Phage	0.02758
