"","V1","V2","V3","Source"
"ERR2241628",-0.1927228544616,-0.561631618665929,-0.156184649722898,"Chicken"
"ERR2241631",-0.366383000565836,-0.496334303595423,-0.1620582921842,"Chicken"
"ERR2241632",-0.325470057127589,-0.491189940588606,-0.16107567470928,"Chicken"
"ERR2241634",-0.0366478048090893,-0.333008601195954,-0.185265675790877,"Chicken"
"ERR2241635",-0.357730409272605,-0.469214242386622,-0.157608359879144,"Chicken"
"ERR2241637",-0.329785204005352,-0.482624332852037,-0.15835906564708,"Chicken"
"ERR2241639",-0.311340001816388,-0.518619818694413,-0.169633153587092,"Chicken"
"ERR2241641",-0.364999032636911,-0.465363937101218,-0.139272773353265,"Chicken"
"ERR2241643",-0.328043190573663,-0.470042536120793,-0.15043111031185,"Chicken"
"ERR2241645",-0.332977543642728,-0.503340556546022,-0.159489788972782,"Chicken"
"ERR2241647",-0.325588022739329,-0.485559269156773,-0.170226585710349,"Chicken"
"ERR2241649",-0.369836366326114,-0.48204130397104,-0.152627956927126,"Chicken"
"ERR2241651",-0.279110279450111,-0.40819940198514,-0.135711265480374,"Chicken"
"ERR2241653",-0.359226923912866,-0.470218174665384,-0.155014017101404,"Chicken"
"ERR2241655",-0.343979538778686,-0.476060539075405,-0.146070884984365,"Chicken"
"ERR2241657",-0.369092220424991,-0.474911796742204,-0.166262438113101,"Chicken"
"ERR2241659",-0.278586068422738,-0.431762766538411,-0.158845938102865,"Chicken"
"ERR2241662",-0.279680412070406,-0.395824861991394,-0.13984849118421,"Chicken"
"ERR2241664",-0.36295327073211,-0.444081161228639,-0.138049541099796,"Chicken"
"ERR2241665",-0.111808346062096,-0.47339511386104,-0.176266124887332,"Chicken"
"ERR2241686",-0.31369288157572,-0.507166657058745,-0.172102503227353,"Chicken"
"ERR2241687",-0.291573879599841,-0.49323223837974,-0.163773621118221,"Chicken"
"ERR2241688",-0.387802209776958,-0.464436899157677,-0.141645147445123,"Chicken"
"ERR2241689",-0.258597875309469,-0.403613179235794,-0.126949526517011,"Chicken"
"ERR2241690",-0.188651864019813,-0.350873382205689,-0.151696963074806,"Chicken"
"ERR2241691",-0.390838122240159,-0.483873972676456,-0.156884460489054,"Chicken"
"ERR2241692",-0.344103691340633,-0.487075026163535,-0.160148377946624,"Chicken"
"ERR2241693",-0.329148536531926,-0.487929247129279,-0.169144454308244,"Chicken"
"ERR2241694",-0.321194697806659,-0.464882872508934,-0.147029072417403,"Chicken"
"ERR2241695",-0.332895031022422,-0.452118858434431,-0.131422367560846,"Chicken"
"ERR2241696",-0.336286212703811,-0.465855571375087,-0.163245147470429,"Chicken"
"ERR2241697",-0.389211741231353,-0.475141171698007,-0.139781464336731,"Chicken"
"ERR2241698",-0.166062509476251,-0.544524566663943,-0.124098070088357,"Chicken"
"ERR2241699",-0.0443032399646456,-0.309848699294657,-0.192378742394178,"Chicken"
"ERR2241700",-0.23417009200761,-0.422643089463785,-0.169668768883812,"Chicken"
"ERR2241701",-0.140727356215567,-0.401615594189165,-0.194172203370631,"Chicken"
"ERR2241702",-0.25495071103171,-0.400700722914108,-0.152754521074597,"Chicken"
"ERR2241703",-0.196930660261655,-0.419707706277977,-0.180653526246917,"Chicken"
"ERR2241704",-0.138909949037168,-0.327250387297779,-0.17633481640708,"Chicken"
"ERR2241725",-0.241932094402898,-0.519537036825351,-0.144209777173729,"Chicken"
"ERR2241726",-0.342463819439087,-0.470347132891662,-0.145697738510582,"Chicken"
"ERR2241727",-0.360640442176152,-0.486006563750603,-0.154814318844615,"Chicken"
"ERR2241728",-0.229393512699357,-0.572634047819212,-0.140580112501276,"Chicken"
"ERR2241729",-0.371935014161453,-0.485542244937691,-0.174128446799688,"Chicken"
"ERR2241730",-0.358280943496727,-0.466990997873,-0.145810263639359,"Chicken"
"ERR2241731",-0.349684592537601,-0.486491836961172,-0.15243833815187,"Chicken"
"ERR2241732",-0.35003335728999,-0.449811732039339,-0.140741850778844,"Chicken"
"ERR2241733",-0.379254592602461,-0.488782107631174,-0.147897213878427,"Chicken"
"ERR2241734",-0.330807613841628,-0.491452333053746,-0.159282601933239,"Chicken"
"ERR2241735",-0.371672193692803,-0.473258036863736,-0.15607379035018,"Chicken"
"ERR2241736",-0.301445502568881,-0.442790489726242,-0.157081938161916,"Chicken"
"ERR2241737",-0.0479806570229681,-0.419403584037,-0.136617049150962,"Chicken"
"ERR2241738",-0.340617868979573,-0.470310473599517,-0.146467721800656,"Chicken"
"ERR2241739",-0.307389236430643,-0.509334677642645,-0.167893807748742,"Chicken"
"ERR2241740",-0.189904874670884,-0.341480887451519,-0.116998731193203,"Chicken"
"ERR2241741",-0.269856085128463,-0.444224292646522,-0.204740789521026,"Chicken"
"ERR2241742",-0.362624606754235,-0.472104482474063,-0.150707634165007,"Chicken"
"ERR2241743",-0.209098313481916,-0.360615416221345,-0.100960765487086,"Chicken"
