newid	family
chick_phage_1	Salasmaviridae
chick_phage_2	Salasmaviridae
chick_phage_3	Unknown
chick_phage_4	Salasmaviridae
chick_phage_5	Salasmaviridae
chick_phage_6	Salasmaviridae
chick_phage_7	Salasmaviridae
chick_phage_8	Salasmaviridae
chick_phage_9	Salasmaviridae
chick_phage_10	Siphoviridae
chick_phage_11	Unknown
chick_phage_12	Salasmaviridae
chick_phage_13	Rountreeviridae
chick_phage_14	Salasmaviridae
chick_phage_15	Salasmaviridae
chick_phage_16	Myoviridae
chick_phage_17	Salasmaviridae
chick_phage_18	Guelinviridae
chick_phage_19	Salasmaviridae
chick_phage_20	Salasmaviridae
chick_phage_21	Podoviridae
chick_phage_22	Salasmaviridae
chick_phage_23	Podoviridae
chick_phage_24	Salasmaviridae
chick_phage_25	Salasmaviridae
chick_phage_26	Mesyanzhinovviridae
chick_phage_27	Salasmaviridae
chick_phage_28	Salasmaviridae
chick_phage_29	Salasmaviridae
chick_phage_30	Salasmaviridae
chick_phage_31	Podoviridae
chick_phage_32	Rountreeviridae
chick_phage_33	Salasmaviridae
chick_phage_34	Podoviridae
chick_phage_35	Salasmaviridae
chick_phage_36	Siphoviridae
chick_phage_37	Siphoviridae
chick_phage_38	Salasmaviridae
chick_phage_39	Salasmaviridae
chick_phage_40	Salasmaviridae
chick_phage_41	Salasmaviridae
chick_phage_42	Siphoviridae
chick_phage_43	Salasmaviridae
chick_phage_44	Salasmaviridae
chick_phage_45	Siphoviridae
chick_phage_46	Siphoviridae
chick_phage_47	Salasmaviridae
chick_phage_48	Salasmaviridae
chick_phage_49	Salasmaviridae
chick_phage_50	Salasmaviridae
chick_phage_51	Salasmaviridae
chick_phage_52	Salasmaviridae
chick_phage_53	Salasmaviridae
chick_phage_54	Rountreeviridae
chick_phage_55	Salasmaviridae
chick_phage_56	Salasmaviridae
chick_phage_57	Salasmaviridae
chick_phage_58	Salasmaviridae
chick_phage_59	Siphoviridae
chick_phage_60	Salasmaviridae
chick_phage_61	Salasmaviridae
chick_phage_62	Salasmaviridae
chick_phage_63	Siphoviridae
chick_phage_64	Salasmaviridae
chick_phage_65	Salasmaviridae
chick_phage_66	Salasmaviridae
chick_phage_67	Salasmaviridae
chick_phage_68	Salasmaviridae
chick_phage_69	Unknown
chick_phage_70	Salasmaviridae
chick_phage_71	Salasmaviridae
chick_phage_72	Salasmaviridae
chick_phage_73	Siphoviridae
chick_phage_74	Salasmaviridae
chick_phage_75	Salasmaviridae
chick_phage_76	Salasmaviridae
chick_phage_77	Siphoviridae
chick_phage_78	Siphoviridae
chick_phage_79	Myoviridae
chick_phage_80	Siphoviridae
chick_phage_81	Salasmaviridae
chick_phage_82	Salasmaviridae
chick_phage_83	Salasmaviridae
chick_phage_84	Salasmaviridae
chick_phage_85	Salasmaviridae
chick_phage_86	Salasmaviridae
chick_phage_87	Salasmaviridae
chick_phage_88	Podoviridae
chick_phage_89	Salasmaviridae
chick_phage_90	Siphoviridae
chick_phage_91	Salasmaviridae
chick_phage_92	Salasmaviridae
chick_phage_93	Salasmaviridae
chick_phage_94	Siphoviridae
chick_phage_95	Salasmaviridae
chick_phage_96	Rountreeviridae
chick_phage_97	Salasmaviridae
chick_phage_98	Salasmaviridae
chick_phage_99	Podoviridae
chick_phage_100	Salasmaviridae
chick_phage_101	Rountreeviridae
chick_phage_102	Salasmaviridae
chick_phage_103	Siphoviridae
chick_phage_104	Salasmaviridae
chick_phage_105	Salasmaviridae
chick_phage_106	Unknown
chick_phage_107	Salasmaviridae
chick_phage_108	Salasmaviridae
chick_phage_109	Salasmaviridae
chick_phage_110	Siphoviridae
chick_phage_111	Salasmaviridae
chick_phage_112	Salasmaviridae
chick_phage_113	Salasmaviridae
chick_phage_114	Salasmaviridae
chick_phage_115	Salasmaviridae
chick_phage_116	Siphoviridae
chick_phage_117	Salasmaviridae
chick_phage_118	Salasmaviridae
chick_phage_119	Myoviridae
chick_phage_120	Salasmaviridae
chick_phage_121	Salasmaviridae
chick_phage_122	Salasmaviridae
chick_phage_123	Herelleviridae
chick_phage_124	Salasmaviridae
chick_phage_125	Siphoviridae
chick_phage_126	Salasmaviridae
chick_phage_127	Salasmaviridae
chick_phage_128	Rountreeviridae
chick_phage_129	Straboviridae
chick_phage_130	Salasmaviridae
chick_phage_131	Salasmaviridae
chick_phage_132	Salasmaviridae
chick_phage_133	Podoviridae
chick_phage_134	Salasmaviridae
chick_phage_135	Salasmaviridae
chick_phage_136	Siphoviridae
chick_phage_137	Salasmaviridae
chick_phage_138	Salasmaviridae
chick_phage_139	Salasmaviridae
chick_phage_140	Salasmaviridae
chick_phage_141	Salasmaviridae
chick_phage_142	Herelleviridae
chick_phage_143	Salasmaviridae
chick_phage_144	Salasmaviridae
chick_phage_145	Salasmaviridae
chick_phage_146	Unknown
chick_phage_147	Salasmaviridae
chick_phage_148	Salasmaviridae
chick_phage_149	Salasmaviridae
chick_phage_150	Podoviridae
chick_phage_151	Salasmaviridae
chick_phage_152	Salasmaviridae
chick_phage_153	Salasmaviridae
chick_phage_154	Salasmaviridae
chick_phage_155	Salasmaviridae
chick_phage_156	Salasmaviridae
chick_phage_157	Salasmaviridae
chick_phage_158	Salasmaviridae
chick_phage_159	Salasmaviridae
chick_phage_160	Salasmaviridae
chick_phage_161	Siphoviridae
chick_phage_162	Salasmaviridae
chick_phage_163	Salasmaviridae
chick_phage_164	Salasmaviridae
chick_phage_165	Salasmaviridae
chick_phage_166	Salasmaviridae
chick_phage_167	Salasmaviridae
chick_phage_168	Rountreeviridae
chick_phage_169	Salasmaviridae
chick_phage_170	Salasmaviridae
chick_phage_171	Salasmaviridae
chick_phage_172	Mesyanzhinovviridae
chick_phage_173	Salasmaviridae
chick_phage_174	Salasmaviridae
chick_phage_175	Salasmaviridae
chick_phage_176	Salasmaviridae
chick_phage_177	Salasmaviridae
chick_phage_178	Salasmaviridae
chick_phage_179	Salasmaviridae
chick_phage_180	Salasmaviridae
chick_phage_181	Myoviridae
chick_phage_182	Salasmaviridae
chick_phage_183	Salasmaviridae
chick_phage_184	Myoviridae
chick_phage_185	Peduoviridae
chick_phage_186	Podoviridae
chick_phage_187	Rountreeviridae
chick_phage_188	Salasmaviridae
chick_phage_189	Salasmaviridae
chick_phage_190	Salasmaviridae
chick_phage_191	Rountreeviridae
chick_phage_192	Salasmaviridae
chick_phage_193	Salasmaviridae
chick_phage_194	Salasmaviridae
chick_phage_195	Salasmaviridae
chick_phage_196	Siphoviridae
chick_phage_197	Unknown
chick_phage_198	Unknown
chick_phage_199	Unknown
chick_phage_202	Salasmaviridae
chick_phage_203	Salasmaviridae
chick_phage_204	Unknown
chick_phage_205	Salasmaviridae
chick_phage_206	Salasmaviridae
chick_phage_207	Podoviridae
chick_phage_208	Salasmaviridae
chick_phage_209	Salasmaviridae
chick_phage_210	Salasmaviridae
chick_phage_211	Salasmaviridae
chick_phage_212	Salasmaviridae
chick_phage_213	Salasmaviridae
chick_phage_214	Salasmaviridae
chick_phage_215	Salasmaviridae
chick_phage_216	Salasmaviridae
chick_phage_217	Myoviridae
chick_phage_218	Podoviridae
chick_phage_219	Siphoviridae
chick_phage_220	Unknown
chick_phage_221	Siphoviridae
chick_phage_222	Siphoviridae
chick_phage_223	Rountreeviridae
chick_phage_224	Siphoviridae
chick_phage_225	Salasmaviridae
chick_phage_226	Salasmaviridae
chick_phage_227	Siphoviridae
chick_phage_228	Salasmaviridae
chick_phage_229	Salasmaviridae
chick_phage_230	Salasmaviridae
chick_phage_231	Salasmaviridae
chick_phage_232	Salasmaviridae
chick_phage_233	Unknown
chick_phage_234	Salasmaviridae
chick_phage_235	Salasmaviridae
chick_phage_236	Salasmaviridae
chick_phage_237	Siphoviridae
chick_phage_238	Rountreeviridae
chick_phage_239	Salasmaviridae
chick_phage_240	Salasmaviridae
chick_phage_241	Rountreeviridae
chick_phage_242	Rountreeviridae
chick_phage_243	Rountreeviridae
chick_phage_244	Siphoviridae
chick_phage_245	Salasmaviridae
chick_phage_246	Rountreeviridae
chick_phage_247	Salasmaviridae
chick_phage_248	Salasmaviridae
chick_phage_249	Salasmaviridae
chick_phage_250	Peduoviridae
chick_phage_251	Salasmaviridae
chick_phage_252	Podoviridae
chick_phage_253	Salasmaviridae
chick_phage_254	Salasmaviridae
chick_phage_255	Podoviridae
chick_phage_256	Podoviridae
chick_phage_257	Siphoviridae
chick_phage_258	Salasmaviridae
chick_phage_259	Salasmaviridae
chick_phage_260	Salasmaviridae
chick_phage_261	Salasmaviridae
chick_phage_262	Salasmaviridae
chick_phage_263	Salasmaviridae
chick_phage_264	Salasmaviridae
chick_phage_265	Salasmaviridae
chick_phage_266	Salasmaviridae
chick_phage_267	Rountreeviridae
chick_phage_268	Mesyanzhinovviridae
chick_phage_270	Siphoviridae
chick_phage_271	Salasmaviridae
chick_phage_272	Salasmaviridae
chick_phage_273	Rountreeviridae
chick_phage_274	Salasmaviridae
chick_phage_275	Salasmaviridae
chick_phage_276	Salasmaviridae
chick_phage_277	Salasmaviridae
chick_phage_278	Rountreeviridae
chick_phage_279	Salasmaviridae
chick_phage_281	Rountreeviridae
chick_phage_282	Rountreeviridae
chick_phage_283	Salasmaviridae
chick_phage_284	Salasmaviridae
chick_phage_285	Salasmaviridae
chick_phage_286	Unknown
chick_phage_287	Siphoviridae
chick_phage_288	Salasmaviridae
chick_phage_289	Salasmaviridae
chick_phage_293	Rountreeviridae
chick_phage_294	Siphoviridae
chick_phage_295	Unknown
chick_phage_296	Siphoviridae
chick_phage_297	Rountreeviridae
chick_phage_298	Siphoviridae
chick_phage_299	Rountreeviridae
chick_phage_300	Siphoviridae
chick_phage_301	Podoviridae
chick_phage_302	Rountreeviridae
chick_phage_303	Rountreeviridae
chick_phage_304	Peduoviridae
chick_phage_305	Guelinviridae
chick_phage_306	Salasmaviridae
chick_phage_307	Siphoviridae
chick_phage_308	Rountreeviridae
chick_phage_309	Salasmaviridae
chick_phage_310	Salasmaviridae
chick_phage_311	Salasmaviridae
chick_phage_312	Autographiviridae
chick_phage_313	Salasmaviridae
chick_phage_314	Rountreeviridae
chick_phage_315	Salasmaviridae
chick_phage_316	Salasmaviridae
chick_phage_317	Salasmaviridae
chick_phage_318	Salasmaviridae
chick_phage_319	Autographiviridae
chick_phage_320	Orlajensenviridae
chick_phage_321	Salasmaviridae
chick_phage_322	Salasmaviridae
chick_phage_323	Salasmaviridae
chick_phage_324	Myoviridae
chick_phage_325	Podoviridae
chick_phage_326	Podoviridae
chick_phage_327	Unknown
chick_phage_328	Unknown
chick_phage_329	Salasmaviridae
chick_phage_330	Salasmaviridae
chick_phage_331	Podoviridae
chick_phage_332	Siphoviridae
chick_phage_333	Salasmaviridae
chick_phage_334	Salasmaviridae
chick_phage_335	Salasmaviridae
chick_phage_336	Orlajensenviridae
chick_phage_337	Salasmaviridae
chick_phage_338	Rountreeviridae
chick_phage_339	Guelinviridae
chick_phage_340	Rountreeviridae
chick_phage_341	Salasmaviridae
chick_phage_342	Guelinviridae
chick_phage_343	Siphoviridae
chick_phage_346	Salasmaviridae
chick_phage_347	Salasmaviridae
chick_phage_349	Salasmaviridae
chick_phage_351	Salasmaviridae
chick_phage_352	Mesyanzhinovviridae
chick_phage_353	Salasmaviridae
chick_phage_354	Myoviridae
chick_phage_355	Siphoviridae
chick_phage_356	Salasmaviridae
chick_phage_357	Mesyanzhinovviridae
chick_phage_358	Salasmaviridae
chick_phage_359	Siphoviridae
chick_phage_360	Myoviridae
chick_phage_361	Salasmaviridae
chick_phage_362	Casjensviridae
chick_phage_363	Myoviridae
chick_phage_364	Unknown
chick_phage_365	Myoviridae
chick_phage_366	Myoviridae
chick_phage_367	Myoviridae
chick_phage_368	Mesyanzhinovviridae
chick_phage_369	Myoviridae
chick_phage_370	Salasmaviridae
chick_phage_371	Myoviridae
chick_phage_372	Siphoviridae
chick_phage_374	Siphoviridae
chick_phage_375	Unknown
chick_phage_376	Mesyanzhinovviridae
chick_phage_377	Siphoviridae
chick_phage_378	Siphoviridae
chick_phage_379	Unknown
chick_phage_380	Rountreeviridae
chick_phage_381	Guelinviridae
chick_phage_382	Rountreeviridae
chick_phage_383	Straboviridae
chick_phage_384	Autographiviridae
chick_phage_385	Rountreeviridae
chick_phage_386	Salasmaviridae
chick_phage_387	Salasmaviridae
chick_phage_388	Podoviridae
chick_phage_389	Salasmaviridae
chick_phage_390	Salasmaviridae
chick_phage_391	Salasmaviridae
chick_phage_392	Guelinviridae
chick_phage_393	Rountreeviridae
chick_phage_394	Peduoviridae
chick_phage_395	Salasmaviridae
chick_phage_396	Salasmaviridae
chick_phage_397	Rountreeviridae
chick_phage_398	Salasmaviridae
chick_phage_399	Salasmaviridae
chick_phage_400	Salasmaviridae
chick_phage_401	Herelleviridae
chick_phage_402	Salasmaviridae
chick_phage_403	Salasmaviridae
chick_phage_404	Salasmaviridae
chick_phage_405	Rountreeviridae
chick_phage_406	Salasmaviridae
chick_phage_407	Salasmaviridae
chick_phage_408	Salasmaviridae
chick_phage_409	Siphoviridae
chick_phage_410	Salasmaviridae
chick_phage_411	Siphoviridae
chick_phage_412	Salasmaviridae
chick_phage_413	Salasmaviridae
chick_phage_414	Salasmaviridae
chick_phage_415	Salasmaviridae
chick_phage_416	Salasmaviridae
chick_phage_417	Salasmaviridae
chick_phage_418	Rountreeviridae
chick_phage_419	Salasmaviridae
chick_phage_420	Salasmaviridae
chick_phage_421	Rountreeviridae
chick_phage_422	Salasmaviridae
chick_phage_423	Salasmaviridae
chick_phage_424	Peduoviridae
chick_phage_425	Straboviridae
chick_phage_426	Rountreeviridae
chick_phage_427	Salasmaviridae
chick_phage_428	Salasmaviridae
chick_phage_429	Salasmaviridae
chick_phage_430	Salasmaviridae
chick_phage_431	Salasmaviridae
chick_phage_432	Unknown
chick_phage_433	Rountreeviridae
chick_phage_434	Salasmaviridae
chick_phage_435	Salasmaviridae
chick_phage_436	Siphoviridae
chick_phage_437	Siphoviridae
chick_phage_438	Salasmaviridae
chick_phage_439	Salasmaviridae
chick_phage_440	Rountreeviridae
chick_phage_441	Salasmaviridae
