id	Breed
CNS0178602	Licha
CNS0178518	Wild-Boar
CNS0178520	Wild-Boar
CNS0178603	Licha
CNS0178604	Licha
CNS0178522	Wild-Boar
CNS0178523	Wild-Boar
CNS0178605	Licha
CNS0178606	Licha
CNS0178607	Licha
CNS0178608	Licha
CNS0178528	Wild-Boar
CNS0178609	Licha
CNS0178610	Licha
CNS0178611	Licha
CNS0178612	Licha
CNS0178613	Licha
CNS0178614	Licha
CNS0178530	Wild-Boar
CNS0178615	Licha
CNS0178547	Duroc
CNS0178548	Duroc
CNS0178549	Duroc
CNS0178550	Duroc
CNS0178551	Duroc
CNS0178552	Duroc
CNS0178553	Duroc
CNS0178554	Duroc
CNS0178555	Duroc
CNS0178556	Duroc
CNS0178557	Duroc
CNS0178558	Duroc
CNS0178559	Duroc
CNS0178560	Duroc
CNS0178561	Duroc
CNS0178562	Duroc
CNS0178563	Duroc
CNS0178564	Duroc
CNS0178565	Duroc
CNS0178566	Duroc
CNS0178531	Duroc
CNS0178532	Duroc
CNS0178533	Duroc
CNS0178534	Duroc
CNS0178535	Duroc
CNS0178536	Duroc
CNS0178537	Duroc
CNS0178538	Duroc
CNS0178539	Duroc
CNS0178540	Duroc
CNS0178541	Duroc
CNS0178542	Duroc
CNS0178543	Duroc
CNS0178544	Duroc
CNS0178545	Duroc
CNS0178546	Duroc
