"id","Source","continent","country","sum","flag"
"CNS0178468","feces","Asia","China",603.323426,1
"CNS0178469","feces","Asia","China",5088.53008,1
"CNS0178470","feces","Asia","China",2764.074988,1
"CNS0178471","feces","Asia","China",254.46836,1
"CNS0178472","feces","Asia","China",101.78977,1
"CNS0178473","feces","Asia","China",84.646114,1
"CNS0178474","feces","Asia","China",453.819583,1
"CNS0178475","feces","Asia","China",493.829378,1
"CNS0178476","feces","Asia","China",1817.532997,1
"CNS0178477","feces","Asia","China",641.630867,1
"CNS0178478","feces","Asia","China",50.498767,1
"CNS0178479","feces","Asia","China",501.737242,1
"CNS0178480","feces","Asia","China",994.832405,1
"CNS0178481","feces","Asia","China",6.13185,1
"CNS0178482","feces","Asia","China",294.91876,1
"CNS0178483","feces","Asia","China",1246.126862,1
"CNS0178484","feces","Asia","China",508.964016,1
"CNS0178485","feces","Asia","China",486.775464,1
"CNS0178486","feces","Asia","China",239.700409,1
"CNS0178487","feces","Asia","China",618.447916,1
"CNS0178488","feces","Asia","China",317.40779,1
"CNS0178489","feces","Asia","China",1206.035932,1
"CNS0178490","feces","Asia","China",265.6356,1
"CNS0178491","feces","Asia","China",242.10646,1
"CNS0178492","feces","Asia","China",424.853459,1
"CNS0178493","feces","Asia","China",1466.937875,1
"CNS0178494","feces","Asia","China",5788.0115,1
"CNS0178495","feces","Asia","China",367.560394,1
"CNS0178496","feces","Asia","China",664.87297,1
"CNS0178497","feces","Asia","China",2482.12929,1
"CNS0178498","feces","Asia","China",3912.13103,1
"CNS0178499","feces","Asia","China",141.8007,1
"CNS0178500","feces","Asia","China",173.85826,1
"CNS0178501","feces","Asia","China",0.51294,1
"CNS0178502","feces","Asia","China",376.857493,1
"CNS0178503","feces","Asia","China",3721.501115,1
"CNS0178504","feces","Asia","China",2334.415033,1
"CNS0178505","feces","Asia","China",8.463101,1
"CNS0178506","feces","Asia","China",4302.0386,1
"CNS0178507","feces","Asia","China",126.8713,1
"CNS0178508","feces","Asia","China",155.443938,1
"CNS0178509","feces","Asia","China",234.523365,1
"CNS0178510","feces","Asia","China",57.674814,1
"CNS0178511","feces","Asia","China",44.007215,1
"CNS0178512","feces","Asia","China",335.798145,1
"CNS0178513","feces","Asia","China",633.14361,1
"CNS0178514","feces","Asia","China",163.943485,1
"CNS0178515","feces","Asia","China",484.721561,1
"CNS0178516","feces","Asia","China",928.269939,1
"CNS0178517","cecum","Asia","China",2.702659,1
"CNS0178518","feces","Asia","China",1.015291,1
"CNS0178519","cecum","Asia","China",0,0
"CNS0178520","feces","Asia","China",1.332741,1
"CNS0178521","cecum","Asia","China",9.02703,1
"CNS0178522","feces","Asia","China",7.79287,1
"CNS0178523","feces","Asia","China",0,0
"CNS0178524","cecum","Asia","China",0.70132,1
"CNS0178525","cecum","Asia","China",112.13405,1
"CNS0178526","cecum","Asia","China",16213.156,1
"CNS0178527","cecum","Asia","China",1.36633,1
"CNS0178528","feces","Asia","China",0.81893,1
"CNS0178529","cecum","Asia","China",0,0
"CNS0178530","feces","Asia","China",9.20553,1
