Run	BioProject	Source	continent	country
Run	BioProject	Isolation_Source	geo_loc_name_country_continent	country
CNS0178962	CNP0000824	feces	Asia	China
CNS0178569	CNP0000824	ileum	Asia	China
CNS0178547	CNP0000824	feces	Asia	China
CNS0178548	CNP0000824	feces	Asia	China
CNS0178549	CNP0000824	feces	Asia	China
CNS0178550	CNP0000824	feces	Asia	China
CNS0178551	CNP0000824	feces	Asia	China
CNS0178552	CNP0000824	feces	Asia	China
CNS0178553	CNP0000824	feces	Asia	China
CNS0178554	CNP0000824	feces	Asia	China
CNS0178555	CNP0000824	feces	Asia	China
CNS0178556	CNP0000824	feces	Asia	China
CNS0178557	CNP0000824	feces	Asia	China
CNS0178558	CNP0000824	feces	Asia	China
CNS0178559	CNP0000824	feces	Asia	China
CNS0178560	CNP0000824	feces	Asia	China
CNS0178561	CNP0000824	feces	Asia	China
CNS0178562	CNP0000824	feces	Asia	China
CNS0178563	CNP0000824	feces	Asia	China
CNS0178564	CNP0000824	feces	Asia	China
CNS0178565	CNP0000824	feces	Asia	China
CNS0178566	CNP0000824	feces	Asia	China
CNS0178568	CNP0000824	cecum	Asia	China
CNS0178572	CNP0000824	jejunum	Asia	China
CNS0178571	CNP0000824	jejunum	Asia	China
CNS0178931	CNP0000824	feces	Asia	China
CNS0178932	CNP0000824	feces	Asia	China
CNS0178933	CNP0000824	feces	Asia	China
CNS0178934	CNP0000824	feces	Asia	China
CNS0178936	CNP0000824	feces	Asia	China
CNS0178937	CNP0000824	feces	Asia	China
CNS0178940	CNP0000824	feces	Asia	China
CNS0178935	CNP0000824	feces	Asia	China
CNS0178938	CNP0000824	feces	Asia	China
CNS0178939	CNP0000824	feces	Asia	China
CNS0178616	CNP0000824	cecum	Asia	China
CNS0178617	CNP0000824	cecum	Asia	China
CNS0178618	CNP0000824	cecum	Asia	China
CNS0178620	CNP0000824	cecum	Asia	China
CNS0178622	CNP0000824	cecum	Asia	China
CNS0178624	CNP0000824	cecum	Asia	China
CNS0178626	CNP0000824	feces	Asia	China
CNS0178628	CNP0000824	feces	Asia	China
CNS0178629	CNP0000824	feces	Asia	China
CNS0178631	CNP0000824	feces	Asia	China
CNS0178634	CNP0000824	feces	Asia	China
CNS0178635	CNP0000824	feces	Asia	China
CNS0178637	CNP0000824	feces	Asia	China
CNS0178639	CNP0000824	feces	Asia	China
CNS0178640	CNP0000824	feces	Asia	China
CNS0178641	CNP0000824	feces	Asia	China
CNS0178642	CNP0000824	feces	Asia	China
CNS0178643	CNP0000824	feces	Asia	China
CNS0178645	CNP0000824	feces	Asia	China
CNS0178646	CNP0000824	feces	Asia	China
CNS0178647	CNP0000824	feces	Asia	China
CNS0178649	CNP0000824	feces	Asia	China
CNS0178650	CNP0000824	feces	Asia	China
CNS0178653	CNP0000824	feces	Asia	China
CNS0178655	CNP0000824	feces	Asia	China
CNS0178657	CNP0000824	feces	Asia	China
CNS0178659	CNP0000824	feces	Asia	China
CNS0178661	CNP0000824	feces	Asia	China
CNS0178665	CNP0000824	feces	Asia	China
CNS0178666	CNP0000824	feces	Asia	China
CNS0178668	CNP0000824	feces	Asia	China
CNS0178669	CNP0000824	feces	Asia	China
CNS0178670	CNP0000824	feces	Asia	China
CNS0178671	CNP0000824	feces	Asia	China
CNS0178673	CNP0000824	feces	Asia	China
CNS0178674	CNP0000824	feces	Asia	China
CNS0178675	CNP0000824	feces	Asia	China
CNS0178676	CNP0000824	feces	Asia	China
CNS0178677	CNP0000824	feces	Asia	China
CNS0178678	CNP0000824	feces	Asia	China
CNS0178679	CNP0000824	feces	Asia	China
CNS0178680	CNP0000824	feces	Asia	China
CNS0178682	CNP0000824	feces	Asia	China
CNS0178684	CNP0000824	feces	Asia	China
CNS0178686	CNP0000824	feces	Asia	China
CNS0178687	CNP0000824	feces	Asia	China
CNS0178691	CNP0000824	feces	Asia	China
CNS0178692	CNP0000824	feces	Asia	China
CNS0178693	CNP0000824	feces	Asia	China
CNS0178694	CNP0000824	feces	Asia	China
CNS0178695	CNP0000824	feces	Asia	China
CNS0178696	CNP0000824	feces	Asia	China
CNS0178697	CNP0000824	feces	Asia	China
CNS0178699	CNP0000824	feces	Asia	China
CNS0178702	CNP0000824	feces	Asia	China
CNS0178703	CNP0000824	feces	Asia	China
CNS0178704	CNP0000824	feces	Asia	China
CNS0178705	CNP0000824	feces	Asia	China
CNS0178706	CNP0000824	feces	Asia	China
CNS0178707	CNP0000824	feces	Asia	China
CNS0178708	CNP0000824	feces	Asia	China
CNS0178710	CNP0000824	feces	Asia	China
CNS0178712	CNP0000824	feces	Asia	China
CNS0178714	CNP0000824	feces	Asia	China
CNS0178716	CNP0000824	feces	Asia	China
CNS0178717	CNP0000824	feces	Asia	China
CNS0178720	CNP0000824	feces	Asia	China
CNS0178722	CNP0000824	feces	Asia	China
CNS0178724	CNP0000824	feces	Asia	China
CNS0178730	CNP0000824	feces	Asia	China
CNS0178731	CNP0000824	feces	Asia	China
CNS0178732	CNP0000824	feces	Asia	China
CNS0178733	CNP0000824	feces	Asia	China
CNS0178736	CNP0000824	feces	Asia	China
CNS0178738	CNP0000824	feces	Asia	China
CNS0178741	CNP0000824	feces	Asia	China
