id	GC	Sources
Omasu_bin.2	48.85	Ruminant
RGIG10	43.14	Ruminant
RGIG10002	49.13	Ruminant
RGIG10013	51.09	Ruminant
RGIG10050	43.45	Ruminant
RGIG10051	49.93	Ruminant
RGIG10131	49.65	Ruminant
RGIG10163	50.5	Ruminant
RGIG10201	55.21	Ruminant
RGIG10210	45.29	Ruminant
RGIG10223	50.58	Ruminant
RGIG10240	48.88	Ruminant
RGIG10252	53.11	Ruminant
RGIG10288	46.83	Ruminant
RGIG10298	46.7	Ruminant
RGIG1038	43.35	Ruminant
RGIG1042	53.95	Ruminant
RGIG1048	42.92	Ruminant
RGIG1056	42.79	Ruminant
RGIG1061	47.1	Ruminant
RGIG1062	51	Ruminant
RGIG1065	46.74	Ruminant
RGIG1074	43.05	Ruminant
RGIG1080	41.56	Ruminant
RGIG1087	48.45	Ruminant
RGIG1089	42.99	Ruminant
RGIG1107	43.27	Ruminant
RGIG1108	48.8	Ruminant
RGIG1149	54.83	Ruminant
RGIG1167	52.66	Ruminant
RGIG1179	42.94	Ruminant
RGIG118	42.83	Ruminant
RGIG1199	42.88	Ruminant
RGIG120	47.13	Ruminant
RGIG1204	49.03	Ruminant
RGIG1220	52.61	Ruminant
RGIG1234	42.9	Ruminant
RGIG1251	47.86	Ruminant
RGIG1255	42.78	Ruminant
RGIG1270	53.71	Ruminant
RGIG1282	42.9	Ruminant
RGIG1284	48.28	Ruminant
RGIG1316	42.63	Ruminant
RGIG1332	54.29	Ruminant
RGIG1413	54.17	Ruminant
RGIG1416	48.37	Ruminant
RGIG1450	56.53	Ruminant
RGIG1470	47.38	Ruminant
RGIG1480	54.63	Ruminant
RGIG1484	55.72	Ruminant
RGIG1502	48.02	Ruminant
RGIG1511	52.33	Ruminant
RGIG1512	53.87	Ruminant
RGIG1518	49.13	Ruminant
RGIG1522	56.53	Ruminant
RGIG1524	49.69	Ruminant
RGIG1544	51.7	Ruminant
RGIG1558	44.1	Ruminant
RGIG1568	47.5	Ruminant
RGIG157	44.92	Ruminant
RGIG1592	50.75	Ruminant
RGIG1607	55.08	Ruminant
RGIG1608	48.96	Ruminant
RGIG1804	44.51	Ruminant
RGIG2070	44.39	Ruminant
RGIG212	46.61	Ruminant
RGIG2255	50.11	Ruminant
RGIG2294	51.86	Ruminant
RGIG2322	49.09	Ruminant
RGIG2604	51.69	Ruminant
RGIG2610	51.27	Ruminant
RGIG2616	47.56	Ruminant
RGIG2638	53.17	Ruminant
RGIG2646	52.75	Ruminant
RGIG2656	53.56	Ruminant
RGIG2657	47.58	Ruminant
RGIG2669	48.27	Ruminant
RGIG2685	49.44	Ruminant
RGIG2690	49.03	Ruminant
RGIG2691	52.52	Ruminant
RGIG2694	48.88	Ruminant
RGIG2697	47.52	Ruminant
RGIG2698	51.24	Ruminant
RGIG2730	47.15	Ruminant
RGIG2735	48.93	Ruminant
RGIG2776	48.95	Ruminant
RGIG2777	47.08	Ruminant
RGIG2793	48.32	Ruminant
RGIG2802	43.57	Ruminant
RGIG2830	48.13	Ruminant
RGIG2852	52.03	Ruminant
RGIG2918	48.12	Ruminant
RGIG2926	48.4	Ruminant
RGIG2929	53.39	Ruminant
RGIG3	53.1	Ruminant
RGIG304	46.65	Ruminant
RGIG3194	52.25	Ruminant
RGIG3195	48.38	Ruminant
RGIG3222	53.39	Ruminant
RGIG3252	46.45	Ruminant
RGIG3257	49.26	Ruminant
RGIG3261	51.53	Ruminant
RGIG3296	54.11	Ruminant
RGIG3297	52.08	Ruminant
RGIG33	42.99	Ruminant
RGIG3308	49.33	Ruminant
RGIG3312	49.38	Ruminant
RGIG3324	53.91	Ruminant
RGIG3378	47.79	Ruminant
RGIG3419	52.17	Ruminant
RGIG343	51.54	Ruminant
RGIG3454	41.85	Ruminant
RGIG3496	47.29	Ruminant
RGIG3543	51.54	Ruminant
RGIG3545	51.57	Ruminant
RGIG3601	53.9	Ruminant
RGIG3603	47.91	Ruminant
RGIG3646	54.81	Ruminant
RGIG3659	55.24	Ruminant
RGIG3757	48.8	Ruminant
RGIG3758	49.2	Ruminant
RGIG3761	49.47	Ruminant
RGIG3765	48.04	Ruminant
RGIG3767	48.77	Ruminant
RGIG3768	48.55	Ruminant
RGIG3771	46.02	Ruminant
RGIG3772	57.14	Ruminant
RGIG3773	51.02	Ruminant
RGIG3775	46.41	Ruminant
RGIG3782	51.86	Ruminant
RGIG3784	52.82	Ruminant
RGIG3786	53.51	Ruminant
RGIG3792	48.01	Ruminant
RGIG3793	58.26	Ruminant
RGIG3800	47.38	Ruminant
RGIG3808	48.34	Ruminant
RGIG4048	56.85	Ruminant
RGIG4051	48.9	Ruminant
RGIG4307	52.42	Ruminant
RGIG4315	53.16	Ruminant
RGIG4317	46.93	Ruminant
RGIG4329	48.21	Ruminant
RGIG4330	46.28	Ruminant
RGIG4332	49.43	Ruminant
RGIG4388	46.37	Ruminant
RGIG4392	54.34	Ruminant
RGIG4393	47.5	Ruminant
RGIG4403	53.22	Ruminant
RGIG4407	48.11	Ruminant
RGIG4414	46.88	Ruminant
RGIG4424	58.26	Ruminant
RGIG4431	49	Ruminant
RGIG4433	46.53	Ruminant
RGIG4438	47.39	Ruminant
RGIG4444	50.59	Ruminant
RGIG4447	46.83	Ruminant
RGIG4448	54.11	Ruminant
RGIG4491	57.3	Ruminant
RGIG46	51.58	Ruminant
RGIG4603	52.34	Ruminant
RGIG4669	44.36	Ruminant
RGIG4775	53.38	Ruminant
RGIG4781	54.03	Ruminant
RGIG4787	52.35	Ruminant
RGIG4788	47.36	Ruminant
RGIG4792	55.9	Ruminant
RGIG4794	54.06	Ruminant
RGIG4797	49.15	Ruminant
RGIG4799	54.23	Ruminant
RGIG4800	46.88	Ruminant
RGIG4807	53.15	Ruminant
RGIG4810	48.07	Ruminant
RGIG4817	54.06	Ruminant
RGIG4818	57.04	Ruminant
RGIG4825	51.57	Ruminant
RGIG4828	48.66	Ruminant
RGIG4830	47.37	Ruminant
RGIG4836	55.33	Ruminant
RGIG4852	48.41	Ruminant
RGIG4853	53.89	Ruminant
RGIG4860	58.12	Ruminant
RGIG4862	53.24	Ruminant
RGIG4866	49.99	Ruminant
RGIG4872	50.96	Ruminant
RGIG4881	48.86	Ruminant
RGIG4885	55.38	Ruminant
RGIG4888	46.29	Ruminant
RGIG4895	47.62	Ruminant
RGIG4917	41.7	Ruminant
RGIG4946	48.33	Ruminant
RGIG4958	55.45	Ruminant
RGIG4990	46.51	Ruminant
RGIG5030	50.21	Ruminant
RGIG5052	48.85	Ruminant
RGIG5089	57.33	Ruminant
RGIG5092	53.3	Ruminant
RGIG5116	54.99	Ruminant
RGIG5133	49.34	Ruminant
RGIG5134	51.36	Ruminant
RGIG5135	51.95	Ruminant
RGIG5136	47.42	Ruminant
RGIG5139	49.36	Ruminant
RGIG5140	56.24	Ruminant
RGIG5143	48.42	Ruminant
RGIG5145	44.71	Ruminant
RGIG5146	50.91	Ruminant
RGIG5150	49.38	Ruminant
RGIG5155	52.18	Ruminant
RGIG5162	49.45	Ruminant
RGIG5176	53.98	Ruminant
RGIG5177	48.29	Ruminant
RGIG5232	45.65	Ruminant
RGIG5248	45.19	Ruminant
RGIG5444	46.02	Ruminant
RGIG5445	48.58	Ruminant
RGIG55	43.35	Ruminant
RGIG5534	53.75	Ruminant
RGIG5567	45.33	Ruminant
RGIG5623	52.13	Ruminant
RGIG5925	56.61	Ruminant
